Conference;Year;First Name;Last Name;Sex;Role
SANER;2015;Yann-Gael;Gueheneuc;Male;General Chair
SANER;2015;Alexander;Serebrenik;Male;Program Chair
SANER;2015;Bram;Adams;Male;Program Chair
CSMR;2013;Anthony;Cleve;Male;Program Chair
CSMR;2013;Filippo;Ricca;Male;Program Chair
CSMR;2013;Maura;Cerioli;Female;General Chair
CSMR-WCRE;2014;Serge;Demeyer;Male;General Chair
CSMR-WCRE;2014;Dave;Binkley;Male;Program Chair
CSMR-WCRE;2014;Filippo;Ricca;Male;Program Chair
CSMR;2012;Rudolf;Ferenc;Male;General Chair
CSMR;2012;Tom;Mens;Male;Program Chair
CSMR;2012;Anthony;Cleve;Male;Program Chair
CSMR;2011;Andreas;Winter;Male;General Chair
CSMR;2011;Tom;Mens;Male;Program Chair
CSMR;2011;Yiannis;Kanellopoulos;Male;Program Chair
CSMR;2010;Rafael;Capilla;Male;General Chair
CSMR;2010;Rudolf;Ferenc;Male;Program Chair
CSMR;2010;Juan C.;Duenas;Male;Program Chair
CSMR;2009;Andreas;Winter;Male;Program Chair
CSMR;2009;Rudolf;Ferenc;Male;Program Chair
CSMR;2009;Jens;Knodel;Male;General Chair
CSMR;2008;Kostas;Kontogiannis;Male;General Chair
CSMR;2008;Christos;Tjortjis;Male;Program Chair
CSMR;2008;Andreas;Winter;Male;Program Chair
CSMR;2007;Rene;Krikhaar;Male;General Chair
CSMR;2007;Chris;Verhoef;Male;Program Chair
CSMR;2007;Giuseppe Antonia;di Lucca;Male;Program Chair
CSMR;2006;Giuseppe;Visaggio;Male;General Chair
CSMR;2006;Giuseppe Antonia;di Lucca;Male;Program Chair
CSMR;2006;Nicolas;Gold;Male;Program Chair
CSMR;2005;Keith H.;Bennett;Male;General Chair
CSMR;2005;Nicolas;Gold;Male;Program Chair
CSMR;2005;Tarja;Systa;Female;Program Chair
CSMR;2004;Tarja;Systa;Female;General Chair
CSMR;2004;Claudio;Riva;Male;Program Chair
CSMR;2004;Gerardo;Canfora;Male;Program Chair
CSMR;2003;Gerardo;Canfora;Male;General Chair
CSMR;2003;Tibor;Gyimothy;Male;Program Chair
CSMR;2003;Mark;van den Brand;Male;Program Chair
CSMR;2002;Harry M.;Sneed;Male;General Chair
CSMR;2002;Tibor;Gyimothy;Male;Program Chair
CSMR;2002;Fernando;Brito e Abreu;Male;Program Chair
CSMR;2001;Fernando;Brito e Abreu;Male;General Chair
CSMR;2001;Pedro;Sousa;Male;Program Chair
CSMR;2001;Jurgen;Ebert;Male;Program Chair
CSMR;2000;Thomas J.;McCabe;Male;General Chair
CSMR;2000;Jurgen;Ebert;Male;Program Chair
CSMR;2000;Chris;Verhoef;Male;Program Chair
CSMR;1999;Alex;Sellink;Male;General Chair
CSMR;1999;Chris;Verhoef;Male;Program Chair
CSMR;1999;Paolo;Nesi;Male;Program Chair
CSMR;1998;Alessandro;Fantechi;Male;General Chair
CSMR;1998;Paolo;Nesi;Male;Program Chair
CSMR;1998;Franz;Lehner;Male;Program Chair
CSMR;1997;Franz;Lehner;Male;General Chair
CSMR;1997;Lutz;Richter;Male;Program Chair
WCRE;2013;Ralf;Lammel;Male;General Chair
WCRE;2013;Rocco;Oliveto;Male;Program Chair
WCRE;2013;Romain;Robbes;Male;Program Chair
WCRE;2012;Jim;Cordy;Male;General Chair
WCRE;2012;Thomas;Dean;Male;General Chair
WCRE;2012;Rocco;Oliveto;Male;Program Chair
WCRE;2012;Denys;Poshyvanyk;Male;Program Chair
WCRE;2011;Jim;Buckley;Male;General Chair
WCRE;2011;Elliot;Chikofsky;Male;General Chair
WCRE;2011;Martin;Pinzger;Male;Program Chair
WCRE;2011;Denys;Poshyvanyk;Male;Program Chair
WCRE;2010;Elliot;Chikofsky;Male;General Chair
WCRE;2010;Giuliano;Antoniol;Male;Program Chair
WCRE;2010;Martin;Pinzger;Male;Program Chair
WCRE;2009;Stephane;Ducasse;Male;General Chair
WCRE;2009;Andy;Zaidman;Male;Program Chair
WCRE;2009;Giuliano;Antoniol;Male;Program Chair
WCRE;2008;Andy;Zaidman;Male;General Chair
WCRE;2008;Massimiliano;Di Penta;Male;General Chair
WCRE;2008;Ahmed E.;Hassan;Male;Program Chair
WCRE;2007;Michael;Blaha;Male;General Chair
WCRE;2007;Massimiliano;Di Penta;Male;Program Chair
WCRE;2007;Jonathan I.;Maletic;Male;Program Chair
WCRE;2006;Gerardo;Canfora;Male;General Chair
WCRE;2006;Susan Elliott;Sim;Female;Program Chair
WCRE;2006;Massimiliano;Di Penta;Male;Program Chair
WCRE;2005;Elliot;Chikofsky;Male;General Chair
WCRE;2005;Andrea;De Lucia;Male;Program Chair
WCRE;2005;Susan Elliott;Sim;Female;Program Chair
WCRE;2004;Leon;Moonen;Male;General Chair
WCRE;2004;Eleni;Stroulia;Female;Program Chair
WCRE;2004;Andrea;De Lucia;Male;Program Chair
WCRE;2003;Margaret-Anne;Storey;Female;General Chair
WCRE;2003;Eleni;Stroulia;Male;Program Chair
WCRE;2003;Arie;van Deursen;Male;Program Chair
WCRE;2002;Peter;Aiken;Male;General Chair
WCRE;2002;Elizabeth;Burd;Female;Program Chair
WCRE;2002;Arie;van Deursen;Male;Program Chair
WCRE;2001;Rainer;Koschke;Male;General Chair
WCRE;2001;Elizabeth;Burd;Female;Program Chair
WCRE;2001;Peter;Aiken;Male;Program Chair
WCRE;2000;Cristina;Cifuentes;Female;General Chair
WCRE;2000;Elliot;Chikofsky;Male;General Chair
WCRE;2000;Francoise;Balmas;Female;Program Chair
WCRE;2000;Kostas;Kontogiannis;Male;Program Chair
WCRE;1999;Melody;Moore;Female;General Chair
WCRE;1999;Linda M.;Wills;Female;General Chair
WCRE;1999;Francoise;Balmas;Female;Program Chair
WCRE;1999;Michael;Blaha;Male;Program Chair
WCRE;1998;Alex;Quilici;Male;General Chair
WCRE;1998;Michael;Blaha;Male;Program Chair
WCRE;1998;Chris;Verhoef;Male;Program Chair
WCRE;1997;Chris;Verhoef;Male;General Chair
WCRE;1997;Ira;Baxter;Male;Program Chair
WCRE;1997;Alex;Quilici;Male;Program Chair
WCRE;1996;Elliot;Chikofsky;Male;General Chair
WCRE;1996;Linda M.;Wills;Female;Program Chair
WCRE;1996;Ira;Baxter;Male;Program Chair
WCRE;1995;Elliot;Chikofsky;Male;General Chair
WCRE;1995;Philip;Newcomb;Male;Program Chair
WCRE;1995;Linda M.;Wills;Female;Program Chair
WCRE;1994;?;?;?;General Chair
WCRE;1994;?;?;?;Program Chair
WCRE;1994;?;?;?;Program Chair
ICSME;2015;Rainer;Koschke;Male;General Chair
ICSME;2015;Jens;Krinke;Male;Program Chair
ICSME;2015;Martin;Robillard;Male;Program Chair
ICSME;2014;Hausi;Muller;Male;General Chair
ICSME;2014;Leon;Moonen;Male;Program Chair
ICSME;2014;Lori;Pollock;Female;Program Chair
ICSM;2013;Alexander;Serebrenik;Male;General Chair
ICSM;2013;Tom;Mens;Male;Program Chair
ICSM;2013;Yann-Gael;Gueheneuc;Male;Program Chair
ICSM;2012;Paolo;Tonella;Male;General Chair
ICSM;2012;Massimiliano;Di Penta;Male;Program Chair
ICSM;2012;Jonathan I.;Maletic;Male;Program Chair
ICSM;2011;Andrian;Marcus;Male;General Chair
ICSM;2011;Paolo;Tonella;Male;Program Chair
ICSM;2011;James R.;Cordy;Male;Program Chair
ICSM;2010;Radu;Marinescu;Male;General Chair
ICSM;2010;Michele;Lanza;Male;Program Chair
ICSM;2010;Andrian;Marcus;Male;Program Chair
ICSM;2009;Eleni;Stroulia;Female;General Chair
ICSM;2009;Kostas;Kontogiannis;Male;Program Chair
ICSM;2009;Tao;Xie;Male;Program Chair
ICSM;2008;Fuqing;Yang;Female;General Chair
ICSM;2008;Scott;Tilley;Male;General Chair
ICSM;2008;Hong;Mei;Male;Program Chair
ICSM;2008;Kenny;Wong;Male;Program Chair
ICSM;2007;Francoise;Balmas;Female;General Chair
ICSM;2007;Ladan;Tahvildari ;Female;Program Chair
ICSM;2007;Gerardo;Canfora;Male;Program Chair
ICSM;2006;Spiros;Mancoridis;Male;General Chair
ICSM;2006;Rainer;Koschke;Male;Program Chair
ICSM;2006;Dave;Binkley;Male;Program Chair
ICSM;2005;Harry M.;Sneed;Male;General Chair
ICSM;2005;Tibor;Gyimothy;Male;Program Chair
ICSM;2005;Vaclav;Rajlich;Male;Program Chair
ICSM;2004;Panos;Linos;Male;General Chair
ICSM;2004;Bogdan;Korel;Male;Program Chair
ICSM;2004;Mark;Harman;Male;Program Chair
ICSM;2003;Hans;van Vliet;Male;General Chair
ICSM;2003;Shari;Lawrence Pfleeger;Female;Program Chair
ICSM;2003;Chris;Verhoef;Male;Program Chair
ICSM;2002;Ettore;Merlo;Male;General Chair
ICSM;2002;Giuliano;Antoniol;Male;Program Chair
ICSM;2002;Ira D.;Baxter;Male;Program Chair
ICSM;2001;Paolo;Nesi;Male;General Chair
ICSM;2001;Anneliese;von Mayrhauser;Female;Program Chair
ICSM;2001;Gerardo;Canfora;Male;Program Chair
ICSM;2000;Norman;Schneidewind;Male;General Chair
ICSM;2000;Lionel;Briand;Male;Program Chair
ICSM;2000;Jeffrey M.;Voas;Male;Program Chair
ICSM;1999;Keith;Bennett;Male;General Chair
ICSM;1999;Hongji;Yang;Male;Program Chair
ICSM;1999;Lee;White;Male;Program Chair
ICSM;1998;Shawn A.;Bohner;Male;General Chair
ICSM;1998;Keith;Bennett;Male;Program Chair
ICSM;1998;Taghi M.;Khoshgoftaar;Male;Program Chair
ICSM;1997;Aniello;Cimitile;Male;General Chair
ICSM;1997;Vaclav;Rajlich;Male;General Chair
ICSM;1997;Mary Jean;Harrold;Female;Program Chair
ICSM;1997;Giuseppe;Visaggio;Male;Program Chair
ICSM;1996;Norman;Schneidewind;Male;General Chair
ICSM;1996;Shawn A.;Bohner;Male;Program Chair
ICSM;1996;Aniello;Cimitile;Male;Program Chair
ICSM;1995;Mari;Georges;Female;General Chair
ICSM;1995;Keith;Bennett;Male;Program Chair
ICSM;1995;Gianluigi;Caldiera;Male;Program Chair
ICSM;1994;Lee;White;Male;General Chair
ICSM;1994;Hausi;Muller;Male;Program Chair
ICSM;1994;Mari;Georges;Female;Program Chair
SCAM;2014;Dawn;Lawrie;Female;General Chair
SCAM;2014;Rocco;Oliveto;Male;Program Chair
SCAM;2014;Abram;Hindle;Male;Program Chair
SCAM;2013;Jurgen;Vinju;Male;General Chair
SCAM;2013;Juergen;Rilling;Male;Program Chair
SCAM;2013;Bram;Adams;Male;Program Chair
SCAM;2012;James R.;Cordy;Male;General Chair
SCAM;2012;Mariano;Ceccato;Male;Program Chair
SCAM;2012;Zheng;Li;Male;Program Chair
SCAM;2011;Andrew;Walenstein;Male;General Chair
SCAM;2011;Dawn;Lawrie;Female;Program Chair
SCAM;2011;Arpad;Beszedes;Male;Program Chair
SCAM;2010;Massimiliano;Di Penta;Male;General Chair
SCAM;2010;Jurgen;Vinju;Male;Program Chair
SCAM;2010;Cristina;Marinescu;Female;Program Chair
SCAM;2009;Thomas;Dean;Male;General Chair
SCAM;2009;Sibylle;Schupp;Female;Program Chair
SCAM;2009;Andrew;Walenstein;Male;Program Chair
SCAM;2008;Giuliano;Antoniol;Male;General Chair
SCAM;2008;Jianjun;Zhao;Male;General Chair
SCAM;2008;James R.;Cordy;Male;Program Chair
SCAM;2008;Lu;Zhang;Male;Program Chair
SCAM;2007;Leon;Moonen;Male;General Chair
SCAM;2007;Michael W.;Godfrey;Male;Program Chair
SCAM;2007;Bogdan;Korel;Male;Program Chair
SCAM;2006;Andrea;De Lucia;Male;General Chair
SCAM;2006;Massimiliano;Di Penta;Male;Program Chair
SCAM;2006;Leon;Moonen;Male;Program Chair
SCAM;2005;Paolo;Tonella;Male;General Chair
SCAM;2005;Jens;Krinke;Male;Program Chair
SCAM;2005;Giuliano;Antoniol;Male;Program Chair
SCAM;2004;Thomas;Dean;Male;General Chair
SCAM;2004;Rainer;Koschke;Male;Program Chair
SCAM;2004;Michael;Van De Vanter;Male;Program Chair
SCAM;2003;Elizabeth;Burd;Female;General Chair
SCAM;2003;Dave;Binkley;Male;Program Chair
SCAM;2003;Paolo;Tonella;Male;Program Chair
SCAM;2002;Dave;Binkley;Male;General Chair
SCAM;2002;Andrea;De Lucia;Male;Program Chair
SCAM;2002;James R.;Cordy;Male;Program Chair
SCAM;2001;Mark;Harman;Male;General Chair
SCAM;2001;Malcolm;Munro;Male;Program Chair
SCAM;2001;Mark;Harman;Male;Program Chair
ICSE;2014;Pankaj;Jalote;Male;General Chair
ICSE;2014;Lionel;Briand;Male;Program Chair
ICSE;2014;Andre;van der Hoek;Male;Program Chair
ICSE;2013;David;Notkin;Male;General Chair
ICSE;2013;Betty H.C.;Cheng;Female;Program Chair
ICSE;2013;Klaus;Pohl;Male;Program Chair
ICSE;2012;Martin;Glinz;Male;General Chair
ICSE;2012;Gail;Murphy;Female;Program Chair
ICSE;2012;Mauro;Pezze;Male;Program Chair
ICSE;2011;Richard N.;Taylor;Male;General Chair
ICSE;2011;Harald;Gall;Male;Program Chair
ICSE;2011;Nenad;Medvidovic;Male;Program Chair
ICSE;2010;Jeff;Kramer;Male;General Chair
ICSE;2010;Judith;Bishop;Female;General Chair
ICSE;2010;Premkumar;Devanbu;Male;Program Chair
ICSE;2010;Sebastian;Uchitel;Male;Program Chair
ICSE;2009;Stephen;Fickas;Male;General Chair
ICSE;2009;Joanne M.;Atlee;Female;Program Chair
ICSE;2009;Paola;Inverardi;Female;Program Chair
ICSE;2008;Wilhelm;Schafer;Male;General Chair
ICSE;2008;Matthew B.;Dwyer;Male;Program Chair
ICSE;2008;Volker;Gruhn;Male;Program Chair
ICSE;2007;John;Knight;Male;General Chair
ICSE;2007;Wolfgang;Emmerich;Male;Program Chair
ICSE;2007;Gregg;Rothermel;Male;Program Chair
ICSE;2006;Leon J.;Osterweil;Male;General Chair
ICSE;2006;Dieter;Rombach;Male;Program Chair
ICSE;2006;Mary Lou;Soffa;Female;Program Chair
ICSE;2005;Gruia-Catalin;Roman;Male;General Chair
ICSE;2005;William;Griswold;Male;Program Chair
ICSE;2005;Bashar;Nuseibeh;Male;Program Chair
ICSE;2004;Anthony;Finkelstein;Male;General Chair
ICSE;2004;Jacky;Estublier;Male;Program Chair
ICSE;2004;David S.;Rosenblum;Male;Program Chair
ICSE;2003;Lori;Clarke;Female;General Chair
ICSE;2003;Lauri;Dillon;Female;Program Chair
ICSE;2003;Walter;Tichy;Male;Program Chair
ICSE;2002;Will;Tracz;Male;General Chair
ICSE;2002;Michal;Young;Male;Program Chair
ICSE;2002;Jeff;Magee;Male;Program Chair
ICSE;2001;Hausi;Muller;Male;General Chair
ICSE;2001;Mary Jean;Harrold;Female;Program Chair
ICSE;2001;Wilhelm;Schafer;Male;Program Chair
ICSE;2000;Carlo;Ghezzi;Male;General Chair
ICSE;2000;Mehdi;Jazayeri;Male;Program Chair
ICSE;2000;Alexander;Wolf;Male;Program Chair
ASE;2013;Ewen;Denney;Male;General Chair
ASE;2013;Tevfik;Bultan;Male;Program Chair
ASE;2013;Andreas;Zeller;Male;Program Chair
ASE;2012;Michael;Goedicke;Male;General Chair
ASE;2012;Tim;Menzies;Male;Program Chair
ASE;2012;Motoshi;Saeki;Male;Program Chair
ASE;2011;Perry;Alexander;Male;General Chair
ASE;2011;Corina;Pasareanu;Female;Program Chair
ASE;2011;John;Hosking;Male;Program Chair
ASE;2010;Charles;Pecheur;Male;General Chair
ASE;2010;Jamie;Andrews;Male;Program Chair
ASE;2010;Elisabetta;Di Nitto;Female;Program Chair
ASE;2009;John;Grundy;Male;General Chair
ASE;2009;Gabriele;Taentzer;Female;Program Chair
ASE;2009;Mats;Heimdahl;Male;Program Chair
ASE;2008;Paola;Inverardi;Female;General Chair
ASE;2008;Andrew;Ireland;Male;Program Chair
ASE;2008;Willem;Visser;Male;Program Chair
ASE;2007;Kurt;Stirewalt;Male;General Chair
ASE;2007;Alexander;Egyed;Male;Program Chair
ASE;2007;Bernd;Fischer;Male;Program Chair
ASE;2006;Shinichi;Honiden;Male;General Chair
ASE;2006;Sebastian;Uchitel;Male;Program Chair
ASE;2006;Steve;Easterbrook;Male;Program Chair
ASE;2005;David F.;Redmiles;Male;General Chair
ASE;2005;Tom;Ellman;Male;Program Chair
ASE;2005;Andrea;Zisman;Male;Program Chair
ASE;2004;Paul;Grunbacher;Male;General Chair
ASE;2004;Virginie;Wiels;Female;Program Chair
ASE;2004;Kurt;Stirewalt;Male;Program Chair
ASE;2003;Houari;Sahraoui;Male;General Chair
ASE;2003;John;Grundy;Male;Program Chair
ASE;2003;John;Penix;Male;Program Chair
ASE;2002;Julian;Richardson;Male;General Chair
ASE;2002;Wolfgang;Emmerich;Male;Program Chair
ASE;2002;David;Wile;Male;Program Chair
ASE;2001;Debra;Richardson;Female;General Chair
ASE;2001;Martin S.;Feather;Male;Program Chair
ASE;2001;Michael;Goedicke;Male;Program Chair
ASE;2000;Yves;Ledru;Male;General Chair
ASE;2000;Perry;Alexander;Male;Program Chair
ASE;2000;Pierre;Flener;Male;Program Chair
ASE;1999;Dorothy;Setliff;Female;General Chair
ASE;1999;Robert J.;Hall;Male;Program Chair
ASE;1999;Ernst;Tyugu;Male;Program Chair
ASE;1998;Alex;Quilici;Male;General Chair
ASE;1998;David F.;Redmiles;Male;Program Chair
ASE;1998;Bashar;Nuseibeh;Male;Program Chair
