year;ICSE;FSE;ASE;FASE;ICSM;WCRE;ICPC;CSMR;GPCE;SCAM;RE;MSR
2014;496;280;276;125;210;;;;;;;85
2013;461;251;254;112;163;97;63;80;57;29;;86
2012;408;201;138;134;181;118;51;108;35;40;;64
2011;441;203;252;99;127;104;63;101;55;44;138;61
2010;380;169;191;96;133;68;76;80;59;45;153;51
2009;405;217;222;124;162;79;74;70;62;38;131;47
2008;371;152;280;119;156;70;57;87;55;61;164;42
2007;334;251;312;141;214;87;66;85;62;74;172;nodata
2006;395;125;121;166;147;84;73;65;85;49;181;nodata
2005;313;201;291;99;180;58;54;81;86;48;175;nodata
2004;436;169;183;91;122;78;42;62;75;39;99;nodata
2003;324;168;170;89;108;76;52;118;62;43;135;
2002;303;128;94;60;127;72;44;57;39;23;192;
2001;268;137;164;74;161;nodata;44;59;43;30;127;
2000;335;92;100;60;nodata;nodata;39;55;29;na;nodata;
1999;269;141;123;nodata;100;nodata;nodata;nodata;na;na;80;
1998;209;;150;59;97;;nodata;66;na;na;nodata;
1997;219;194;108;;nodata;42;;44;na;na;76;
1996;213;;;;nodata;;;;na;na;;
1995;155;150;;;nodata;;;;na;na;;
