2013;main;Vittorio Cortellessa;Università dell'Aquila;Italy
2013;main;Daniel Varró;Budapest University of Technology and Economics;Hungary
2013;main;Marco Bernardo;Università di Urbino;Italy
2013;main;Ruth Breu;University of Innsbruck;Austria
2013;main;Shing-Chi Cheung;The Hong Kong University of Science and Technology
2013;main;Bojan Cukic;West Virginia University;USA
2013;main;Juan de Lara;Universidad Autónoma de Madrid;Spain
2013;main;Ewen Denney;NASA;USA
2013;main;Jürgen Dingel;Queen's University;Canada
2013;main;Alexander Egyed;Johannes Kepler University;Austria
2013;main;Claudia Ermel;Technische Universität Berlin;Germany
2013;main;Rudolf Ferenc;University of Szeged;Hungary
2013;main;Holger Giese;Universität Potsdam;Germany
2013;main;Paul Grace;Lancaster University;UK
2013;main;Reiko Heckel;University of Leicester;UK
2013;main;John Hosking;Australian National University
2013;main;Valerie Issarny;INRIA;France
2013;main;Jochen Küster;IBM;Switzerland
2013;main;Raffaela Mirandola;Politecnico di Milano;Italy
2013;main;Richard Paige;University of York;UK
2013;main;Dorina Petriu;Carleton University;Canada
2013;main;Alfonso Pierantonio;Universita dell'Aquila;Italy
2013;main;Claudia Pons;University of La Plata;Argentina
2013;main;Abhik Roychoudhury;National University of Singapore
2013;main;Andy Schürr;TU Darmstadt;Germany
2013;main;Bran Selic;Malina Software Corp.;Canada
2013;main;Gabriele Taentzer;Philipps-Universität Marburg;Germany
2013;main;Nicolai Tillmann;Microsoft Research;USA
2013;main;Virginie Wiels;Onera;France
2013;main;Andrea Zisman;City University London;UK
2012;main;Juan de Lara;Autonomous Univ. of Madrid;Spain;
2012;main;Andrea Zisman;City Univ.;London;UK
2012;main;Luca de Alfaro;Univ. of California at Santa Cruz;USA;
2012;main;Luciano Baresi;Polytechn. Univ. of Milan;Italy;
2012;main;Don Batory;Univ. of Texas at Austin;USA;
2012;main;Artur Boronat;Univ. of Leicester;UK;
2012;main;Paolo Bottoni;"Sapienza"" Univ. of Rome";Italy;
2012;main;Marsha Chechik;Univ. of Toronto;Canada;
2012;main;Shing-Chi Cheung;Hong Kong Univ. of Sci. and Techn.;Hong Kong;
2012;main;Jürgen Dingel;Queen's Univ.;Canada;
2012;main;Gregor Engels;Univ. of Paderborn;Germany;
2012;main;Claudia Ermel;Techn. Univ. of Berlin;Germany;
2012;main;Dimitra Giannakopoulou;Carnegie Mellon Univ. / NASA Ames;USA;
2012;main;Holger Giese;Hasso Plattner Inst.;Germany;
2012;main;Esther Guerra;Autonomous Univ. of Madrid;Spain;
2012;main;Reiko Heckel;Univ. of Leicester;UK;
2012;main;John Hosking;Univ. of Auckland;New Zealand;
2012;main;Christos Kloukinas;City Univ.;London;UK
2012;main;Alexander Knapp;Univ. of Augsburg;Germany;
2012;main;Jeff Kramer;Imperial College;UK;
2012;main;Luís C. Lamb;Federal Univ. of Rio Grande do Sul;Brazil;
2012;main;Yngve Lamo;Bergen Univ. College;Norway;
2012;main;Tiziana Margaria;Univ. of Potsdam;Germany;
2012;main;Fernando Orejas;Polytechn. Univ. of Catalunya;Spain;
