2013;main;Bertrand Meyer;ETH Zürich;Switzerland
2013;main;Luciano Baresi;Politecnico di Milano;Italy
2013;main;Mira Mezini;TU Darmstadt;Germany
2013;main;Sven Apel;Universität Passau;Germany
2013;main;Antonia Bertolino;ISTI-CNR;Italy
2013;main;Eric Bodden;Technische Universität Darmstadt;Germany
2013;main;Paulo Borba;Universidade Federal de Pernambuco;Brasil
2013;main;Chandra Boyapati;Google;USA
2013;main;Vittorio Cortellessa;Università dell'Aquila;Italy
2013;main;Robert DeLine;Microsoft;USA
2013;main;Arie van Deursen;Delft University of Technology;The Netherlands
2013;main;Elisabetta Di Nitto;Politecnico di Milano;Italy
2013;main;Massimiliano Di Penta;Università del Sannio;Italy
2013;main;Michael Ernst;University of Washington;USA
2013;main;Patrick Eugster;Purdue University;USA
2013;main;Alessandro Garcia;PUC Rio;Brasil
2013;main;Paul Grünbacher;Universität Linz;Austria
2013;main;Mark Harman;University College London;United Kingdom
2013;main;Patrick Heymans;University of Namur;Belgium
2013;main;Vladimir Itsykson;Saint Petersburg State Polytechnical University;Russia
2013;main;Natalia Juristo;University of Madrid;Spain
2013;main;Eric Wohlstadter;University of British Columbia;Canada
2013;main;Sunghun Kim;Hong Kong University of Science and Technology;Hong Kong
2013;main;Patricia Lago;Vrije Universiteit Amsterdam;The Netherlands
2013;main;Nenad Medvidovic;University of Southern California;USA
2013;main;Alessandro Orso;Georgia Tech;USA
2013;main;Harold Ossher;IBM Research;USA
2013;main;Corina Pasareanu;NASA;USA
2013;main;Mauro Pezzè;University of Lugano;Switzerland and University of Milano Bicocca;Italy
2013;main;Awais Rashid;Lancaster University;United Kingdom
2013;main;Martin Robillard;McGill University;Canada
2013;main;Wilhelm Schäfer;Universität Paderborn;Germany
2013;main;Paolo Tonella;Fondazione Bruno Kessler;Italy
2013;main;Sebastian Uchitel;Universidad de Buenos Aires;Argentina and Imperial College London;United Kingdom
2013;main;Willem Visser;Stellenbosch University;South Africa
2013;main;Andreas Zeller;Universität des Saarlandes;Germany
2013;main;Andrea Zisman;City University;United Kingdom
2012;main;Will Tracz;Lockheed Martin;USA;
2012;main;Martin Robillard;McGill University;Canada;
2012;main;Tevfik Bultan;University of California, Santa Barbara;USA;
2012;newideas;Licia Capra;University College of London;UK;
2012;demos;Mark Grechanik;Accenture;USA;
2012;main;Joanne M. Atlee;University of Waterloo;;
2012;main;Luciano Baresi;Politecnico di Milano;;
2012;main;Antonia Bertolino;ISTI-CNR;;
2012;main;Christian Bird;Microsoft Research;;
2012;main;Margaret Burnett;Oregon State University;;
2012;main;Marsha Chechik;University of Toronto;;
2012;main;Jane Cleland-Huang;DePaul University;;
2012;main;Ivica Crnkovic;Mälardalen University;;
2012;main;Robert DeLine;Microsoft Research, USA;;
2012;main;Arie van Deursen;Delft University of Technology;;
2012;main;Danny Dig;University of Illinois at Urbana-Champaign;;
2012;main;Sebastian Elbaum;University of Nebraska-Lincoln;;
2012;main;Harald Gall;University of Zurich;;
2012;main;Paul Grünbacher;Johannes Kepler University Linz;;
2012;main;Magne Jørgensen;Simula Labs;;
2012;main;Christine Julien;University of Texas at Austin;;
2012;main;Natalia Juristo;Universidad Politécnica de Madrid;;
2012;main;Sarfraz Khurshid;University of Texas at Austin;;
2012;main;Darko Marinov;University of Illinois at Urbana-Champaign;;
2012;main;Mira Mezini;Technische Universität Darmstadt;;
2012;main;Ana Milanova;Rensselaer Polytechnic Institute;;
2012;main;Alessandro Orso;Georgia Tech;;
2012;main;Massimiliano Di Penta;University of Sannio;;
2012;main;Grigore Rosu;University of Illinois at Urbana-Champaign;;
2012;main;Abhik Roychoudhury;National University of Singapore;;
2012;main;Koushik Sen;University of California, Berkeley;;
2012;main;Mary Lou Soffa;University of Virginia;;
2012;main;Willem C. Visser;University of Stellenbosch;;
2012;main;Chao Wang;Virginia Tech;;
2012;main;Charles Zhang;Hongkong University of Science and Technology;;
2012;main;Andrea Zisman;City University London;;
2011;main;Tibor Gyimóthy;University of Szeged;Hungary;
2011;main;Andreas Zeller;Saarland University;Germany;
2011;industry;Frank Tip;IBM Research;USA;
2011;industry;Volker Gruhn;Universität Duisburg-Essen;Germany;
2011;newideas;Martin Robillard;McGill University;Canada;
2011;demos;Michele Lanza;University of Lugano;Switzerland;
2011;demos;Anthony Cleve;University of Namur & Université Libre de Bruxelles;Belgium;
2011;ds;Mark Harman;University College London;UK;
2011;ds;Marsha Chechik;University of Toronto;Canada;
2011;main;Victor Braberman;Universidad de Buenos Aires;;
2011;main;Lionel Briand;Simula Labs;;
2011;main;Tevfik Bultan;UC Santa Barbara;;
2011;main;Licia Capra;University College London;;
2011;main;Antonio Carzaniga;U Lugano;;
2011;main;Rudolf Ferenc;U Szeged;;
2011;main;Carlo Ghezzi;Politecnico di Milano;;
2011;main;Holger Giese;HPI Potsdam;;
2011;main;Martin Glinz;U Zürich;;
2011;main;Mark Harman;University College London;;
2011;main;Valerie Issarny;INRIA;;
2011;main;Sunghun Kim;Hong Kong UST;;
2011;main;Andy Ko;U Washington;;
2011;main;Shriram Krishnamurthi;Brown University;;
2011;main;Mira Mezini;TU Darmstadt;;
2011;main;Henry Muccini;University of L'Aquila;;
2011;main;Nachiappan Nagappan;Microsoft Research;;
2011;main;Aditya Nori;Microsoft Research India;;
2011;main;Corina Pasareanu;NASA;;
2011;main;Mauro Pezze;U Lugano and U Milano;;
2011;main;Klaus Pohl;U Essen-Duisburg;;
2011;main;Martin Robillard;McGill University;;
2011;main;Wilhelm Schäfer;U Paderborn;;
2011;main;Yannis Smaragdakis;U Athens and U Massachusetts;;
2011;main;Margaret-Anne Storey;U of Victoria;;
2011;main;Zhendong Su;UC Davis;;
2011;main;Mandana Vaziri;IBM Research;;
2010;main;Gruia-Catalin Roman;Washington University in St. Louis;;
2010;main;André van der Hoek;University of California, Irvine;;
2010;ds;Alessandro Orso;Georgia Institute of Technology;;
2010;demos;Tien Nguyen;Iowa State University;;
2010;main;Betty H. C. Cheng;Michigan State University;USA;
2010;main;Lori A. Clarke;University of Massachusetts, Amherst;USA;
2010;main;Arie van Deursen;Delft University of Technology;Netherlands;
2010;main;Sebastian Elbaum;University of Nebraska - Lincoln;USA;
2010;main;Carlo Ghezzi;Politecnico di Milano;Italy;
2010;main;James A. Jones;University of California, Irvine;USA;
2010;main;Christine Julien;The University of Texas at Austin;USA;
2010;main;Axel van Lamsweerde;Université Catholique de Louvain;Belgium;
2010;main;Michele Lanza;University of Lugano;Switzerland;
2010;main;Nenad Medvidovic;University of Southern California;USA;
2010;main;Henry Muccini;University of L'Aquila;Italy;
2010;main;Kumiyo Nakakoji;SRA Inc.;Japan;
2010;main;Alessandro Orso;Georgia Institute of Technology;USA;
2010;main;Mauro Pezze;University of Lugano and University of Milano Bicocca;Switzerland and  Italy;
2010;main;Ita Richardson;Lero - the Irish Software Engineering Research Centre;Ireland;
2010;main;Martin Robillard;McGill University;Canada;
2010;main;David S. Rosenblum;University College London;United Kingdom;
2010;main;Wilhelm Schäfer;Universität Paderborn;Germany;
2010;main;Yannis Smaragdakis;University of Massachusetts, Amherst;USA;
2010;main;Margaret-Anne Storey;University of Victoria;Canada;
2010;main;Zhendong Su;University of California, Davis;USA;
2010;main;Peri Tarr;IBM Thomas J. Watson Research Center;USA;
2010;main;Claudia Maria Lima Werner;Federal University of Rio de Janeiro;Brazil;
2010;main;Laurie Williams;North Carolina State University;USA;
2010;main;Michal Young;University of Oregon;USA;
2010;ds;Luciano Baresi;Politecnico di Milano;Italy;
2010;ds;Lori A. Clarke;University of Massachusetts;Amherst;USA
2010;ds;Myra Cohen;University of Nebraska;Lincoln;USA
2010;ds;Harald Gall;University of Zurich;Switzerland;
2010;ds;Jeffrey Kramer;Imperial College London;UK;
2010;ds;Martin Robillard;McGill University;Canada;
2010;ds;Willem C. Visser;University of Stellenbosch;South Africa;
2010;demos;Tim Menzies;West Virginia University, USA;;
2010;demos;Miryung Kim;University of Texas - Austin;USA;
2010;demos;Danny Dig;University of Illinois - Urbana Champaign;USA;
2010;demos;Leonardo Murta;Universidade Federal Fluminese;Brazil;
2010;demos;Anita Sarma;University of Nebraska - Lincoln;USA;
2010;demos;Lars Grunske;Swinburne University of Technology;Australia;
2010;demos;Mark Grechanik;Accenture Research;USA;
2010;demos;Tom Zimmermann;Microsoft Research;USA;
2010;demos;Ahmed Hassan;Queen's University;Canada;
2010;demos;Martin Pinzger;Delft University of Technology;Netherlands;
2010;demos;Massimiliano Di Penta;University of Sannio;Italy;
