2013;main;David Notkin;University of Washington at Seattle, USA
2013;main;Betty H.C. Cheng;Michigan State University;United States of America
2013;main;Klaus Pohl;University of Duisburg-Essen;Germany;
2013;main;Lionel Briand;University of Luxembourg;Luxembourg
2013;main;Margaret Burnett;Oregon State University;United States of America
2013;main;Manuel Carro;IMDEA Software Institute and Universidad Politécnica de Madrid;Spain
2013;main;Antonio Carzaniga;University of Lugano;Switzerland
2013;main;Krzysztof Czarnecki;University of Waterloo;Canada
2013;main;Prem Devanbu;University of California, Davis;United States of America
2013;main;Schahram Dustdar;Vienna University of Technology;Austria
2013;main;Matt Dwyer;University of Nebraska;United States of America
2013;main;Robert B. France;Colorado State University;United States of America
2013;main;Harald Gall;University of Zurich;Switzerland
2013;main;David Garlan;Carnegie Mellon University;United States of America
2013;main;Carlo Ghezzi;Politecnico di Milano;Italy
2013;main;Dimitra Giannakopoulou;NASA Ames;United States of America
2013;main;Michael Goedicke;University of Duisburg-Essen;Germany
2013;main;Volker Gruhn;University of Duisburg-Essen;Germany
2013;main;Paul Grünbacher;Johannes Kepler University Linz;Austria
2013;main;John Grundy;Swinburne University of Technology;Australia
2013;main;Mark Harman;University College London;UK
2013;main;Wilhelm Hasselbring;University of Kiel;Germany
2013;main;Jane Hayes;University of Kentucky;United States of America
2013;main;Jim Herbsleb;Carnegie Mellon University;United States of America
2013;main;Patrick Heymans;University of Namur & Inria;Belgium, France
2013;main;Paola Inverardi;University of L'Aquila;Italy
2013;main;Valerie Issarny;Inria;France
2013;main;Mehdi Jazayeri;University of Lugano;Switzerland
2013;main;Jean-Marc Jézéquel;Irisa-University of Rennes 1;France
2013;main;Sunghun Kim;Hong Kong University of Science and Technology;China
2013;main;John C. Knight;University of Virginia;United States of America
2013;main;Robyn Lutz;Iowa State University and Jet Propulsion Lab/Caltech;United States of America
2013;main;Jeff Magee;Imperial College London;United Kingdom
2013;main;Gail C. Murphy;University of British Columbia;Canada
2013;main;John Mylopoulos;University of Trento;Italy
2013;main;Nachiappan Nagappan;Microsoft Research;United States of America
2013;main;Alessandro Orso;Georgia Institute of Technology;United States of America
2013;main;Mauro Pezze;University of Lugano and University of Milano Bicocca;Switzerland, Italy
2013;main;Ralf Reussner;KIT / FZI;Germany
2013;main;Martin Robillard;McGill University;Canada
