year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;277;115;113;90;125;67;78;66;176;40;142
2012;270;154;139;96;81;52;114;71;101;49;70
2011;198;113;93;96;83;61;91;55;121;39;119
2010;193;106;73;72;53;52;79;63;108;53;120
2009;147;117;60;55;39;53;94;72;115;35;115
2008;162;105;54;69;62;45;88;56;99;60;97
2007;140;142;72;76;68;48;76;57;140;48;99
2006;105;122;61;79;72;60;67;63;69;41;64
2005;137;139;60;88;59;69;70;62;98;44;84
2004;185;104;72;76;;65;76;54;80;42;68
2003;124;105;93;95;;60;62;50;78;50;60
2002;124;155;91;56;;39;54;62;45;46;56
2001;120;183;54;59;;17;64;66;83;59;80
2000;123;64;71;52;;25;48;54;49;;56
1999;153;115;63;48;;;22;55;72;;47
1998;95;77;61;53;;;41;66;47;;56
1997;141;91;51;45;;;;51;74;;71
1996;128;84;52;;;;;;45;;
1995;83;89;58;;;;;;27;;50
1994;61;109;;;;;;;40;;39
1993;;;;;;;;;39;;
