year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2012;87;46;45;30;29;15;32;23;34;16;21
2011;62;36;27;31;26;18;29;18;34;16;37
2010;54;36;22;24;21;18;25;24;33;17;34
2009;50;35;20;22;13;18;31;22;34;17;38
2008;55;40;20;24;23;17;30;19;31;23;35
2007;49;46;27;29;27;19;28;22;42;19;37
2006;36;45;24;27;29;25;27;23;25;17;22
2005;44;55;21;33;22;25;25;24;35;18;28
2004;58;38;28;33;;25;28;21;28;16;25
2003;42;39;35;40;;21;26;21;36;20;22
2002;45;61;33;24;;18;21;27;17;17;19
2001;47;67;23;19;;9;23;28;29;23;32
2000;45;25;32;21;;11;21;24;21;;23
1999;56;49;29;18;;;10;24;29;;25
1998;41;36;25;23;;;17;24;24;;24
1997;50;35;24;27;;;;22;27;;32
1996;52;36;23;;;;;;17;;
1995;28;37;27;;;;;;15;;23
1994;28;44;;;;;;;17;;21
1993;;;;;;;;;19;;
