year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;23;13;13;12;16;;3;9;13;2;
2012;17;23;19;6;15;2;5;8;7;5;8
2011;19;18;13;9;11;5;4;8;6;5;6
2010;17;14;8;7;11;3;5;15;4;2;6
2009;10;16;10;7;7;6;6;8;8;6;7
2008;11;19;11;10;11;4;4;12;7;10;9
2007;6;19;10;13;13;0;3;13;12;6;8
2006;5;17;17;13;13;4;3;6;7;9;3
2005;7;17;10;8;7;3;1;8;4;6;4
2004;16;14;8;5;;2;4;10;6;7;7
2003;12;9;13;7;;3;1;7;3;6;5
2002;8;21;15;7;;1;0;11;5;9;7
2001;7;25;12;8;;1;2;14;6;9;11
2000;12;7;14;7;;0;2;6;5;;5
1999;17;19;16;4;;;0;14;3;;5
1998;8;15;11;5;;;0;11;1;;10
1997;8;12;15;4;;;;15;3;;6
1996;3;15;9;;;;;;3;;
1995;4;16;15;;;;;;1;;7
1994;2;12;;;;;;;3;;4
1993;;;;;;;;;2;;
