year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.177;0.200;0.195;0.144;0.135;0.045;0.077;0.197;0.131;0.150;0.120
2012;0.230;0.227;0.158;0.115;0.340;0.077;0.061;0.225;0.178;0.020;0.143
2011;0.197;0.124;0.086;0.083;0.203;0.066;0.143;0.182;0.132;0.128;0.092
2010;0.207;0.151;0.151;0.167;0.317;0.096;0.177;0.175;0.176;0.075;0.117
2009;0.177;0.188;0.133;0.182;0.128;0.208;0.085;0.153;0.113;0.143;0.113
2008;0.148;0.200;0.093;0.261;0.346;0.244;0.045;0.196;0.202;0.200;0.124
2007;0.079;0.190;0.167;0.197;0.324;0.062;0.079;0.193;0.086;0.167;0.071
2006;0.076;0.205;0.131;0.291;0.264;0.083;0.090;0.143;0.246;0.098;0.078
2005;0.153;0.194;0.183;0.182;;0.116;0.129;0.065;0.071;0.114;0.107
2004;0.076;0.125;0.139;0.237;;0.138;0.092;0.167;0.150;0.119;0.118
2003;0.121;0.200;0.226;0.084;;0.117;0.032;0.180;0.090;0.080;0.083
2002;0.137;0.206;0.242;0.125;;0.051;0.167;0.226;0.222;0.283;0.143
2001;0.175;0.120;0.241;0.085;;0.059;0.078;0.182;0.096;;0.113
2000;0.154;0.156;0.282;0.250;;;0.021;0.204;0.122;;0.054
1999;0.131;0.165;0.270;0.208;;;0.000;0.418;0.056;;0.149
1998;0.158;0.234;0.262;0.075;;;;0.182;0.106;;0.161
1997;0.071;0.187;0.373;;;;;;0.108;;0.070
1996;0.070;0.238;0.346;;;;;;0.133;;
1995;0.072;0.337;;;;;;;0.148;;0.080
1994;;;;;;;;;0.200;;
