year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.220;0.465;0.708;0.797;0.674;0.111;0.433;0.260;0.324;0.861;0.273
2012;0.292;0.614;0.646;0.812;0.659;0.219;0.355;0.289;0.083;0.643;0.659
2011;0.340;0.588;0.545;0.507;0.585;0.231;0.333;0.630;0.276;0.500;0.512
2010;0.356;0.541;0.727;0.662;0.722;0.385;0.370;0.841;0.222;0.556;0.756
2009;0.341;0.469;0.740;0.648;0.571;0.226;0.414;0.729;0.207;0.842;0.658
2008;0.268;0.646;0.525;0.442;0.812;0.304;0.267;0.732;0.280;0.667;0.596
2007;0.167;0.753;0.829;0.641;0.594;0.074;0.250;0.688;0.286;0.778;0.600
2006;0.250;0.562;0.857;0.512;0.609;0.172;0.280;0.649;0.276;0.824;0.535
2005;0.326;0.483;0.700;0.667;0.500;0.150;0.240;0.636;0.212;0.912;0.769
2004;0.260;0.649;0.650;0.650;;0.190;0.100;0.605;0.115;0.737;0.700
2003;0.311;0.789;0.757;0.816;;0.304;0.214;0.811;0.129;0.744;0.709
2002;0.229;0.740;0.805;0.513;;0.080;0.250;0.730;0.130;0.594;0.824
2001;0.342;0.453;0.381;0.800;;0.100;0.333;0.688;0.243;;0.852
2000;0.191;0.690;0.842;0.559;;;0.200;0.704;0.154;;0.741
1999;0.302;0.585;0.536;0.717;;;0.769;0.833;0.087;;0.830
1998;0.395;0.722;0.884;0.178;;;;0.727;0.208;;0.492
1997;0.140;0.837;0.652;;;;;;0.154;;0.367
1996;0.143;0.609;0.634;;;;;;0.111;;0.633
1995;0.226;0.444;;;;;;;0.087;;0.630
1994;;;;;;;;;0.294;;
