year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.206;0.354;0.413;0.454;0.304;0.125;0.181;0.302;0.203;0.534;0.171
2012;0.278;0.402;0.323;0.430;0.526;0.157;0.150;0.300;0.215;0.353;0.394
2011;0.268;0.385;0.306;0.304;0.411;0.207;0.193;0.443;0.193;0.377;0.229
2010;0.271;0.366;0.385;0.450;0.486;0.267;0.243;0.468;0.206;0.322;0.290
2009;0.260;0.386;0.446;0.456;0.446;0.308;0.162;0.418;0.154;0.576;0.252
2008;0.205;0.459;0.386;0.355;0.660;0.365;0.130;0.515;0.265;0.400;0.287
2007;0.123;0.433;0.385;0.377;0.449;0.133;0.129;0.543;0.166;0.449;0.222
2006;0.153;0.383;0.471;0.426;0.386;0.198;0.180;0.340;0.290;0.431;0.288
2005;0.234;0.313;0.456;0.374;;0.186;0.181;0.333;0.110;0.485;0.371
2004;0.136;0.349;0.388;0.405;;0.214;0.130;0.529;0.180;0.466;0.411
2003;0.236;0.422;0.407;0.296;;0.247;0.107;0.512;0.140;0.407;0.400
2002;0.221;0.367;0.441;0.303;;0.063;0.212;0.455;0.286;0.448;0.490
2001;0.252;0.224;0.412;0.338;;0.115;0.149;0.381;0.158;;0.439
2000;0.214;0.402;0.438;0.375;;;0.098;0.365;0.176;;0.443
1999;0.208;0.329;0.480;0.523;;;0.286;0.613;0.120;;0.564
1998;0.262;0.458;0.543;0.129;;;;0.381;0.214;;0.381
1997;0.120;0.410;0.568;;;;;;0.127;;0.221
1996;0.106;0.376;0.542;;;;;;0.167;;
1995;0.164;0.408;;;;;;;0.204;;0.338
1994;;;;;;;;;0.241;;
