year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2014;;;;88;;;;;;;
2013;50;71;65;64;46;27;30;50;37;36;33
2012;48;70;65;64;41;32;31;38;36;42;44
2011;53;80;55;71;41;26;27;54;29;42;43
2010;45;74;44;65;36;26;27;44;27;36;41
2009;44;81;50;54;35;31;29;48;29;38;38
2008;41;82;61;52;32;23;30;56;25;45;47
2007;36;89;41;39;32;27;28;48;28;36;35
2006;36;80;42;43;23;29;25;37;29;34;43
2005;46;60;40;51;20;20;25;33;33;34;52
2004;50;57;40;40;11;21;20;43;26;38;50
2003;45;57;37;38;;23;14;37;31;39;55
2002;48;73;41;39;;25;12;37;23;32;51
2001;38;64;42;30;;10;12;32;37;33;54
2000;47;42;19;34;;7;15;27;26;;54
1999;43;65;56;46;;;13;36;23;;53
1998;38;54;43;45;;;14;33;24;;59
1997;50;43;46;13;;;;37;39;;49
1996;35;46;41;;;;;;18;;30
1995;31;45;36;;;;;;23;;27
1994;30;44;;;;;;;17;;21
1993;;;;;;;;;14;;
