year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;306;175;167;141;151;88;105;106;202;73;164
2012;302;199;186;151;108;83;140;100;130;85;109
2011;235;174;134;158;113;82;114;97;145;77;157
2010;225;164;109;131;81;75;103;94;131;87;155
2009;181;184;101;103;65;78;117;110;136;66;147
2008;195;170;101;110;84;63;115;101;117;95;136
2007;171;210;104;106;89;75;101;94;157;78;126
2006;137;183;87;108;83;86;89;94;93;65;104
2005;175;182;90;131;73;86;94;87;127;68;132
2004;221;146;103;111;;84;92;87;100;73;112
2003;157;154;118;125;;81;75;80;107;81;110
2002;163;207;118;89;;63;66;88;63;67;100
2001;151;223;85;80;;26;74;84;114;82;123
2000;159;97;80;80;;32;61;74;68;;106
1999;183;161;100;88;;;35;75;92;;94
1998;126;118;92;93;;;55;84;70;;105
1997;184;122;81;55;;;;73;110;;113
1996;160;117;83;;;;;;60;;
1995;110;120;79;;;;;;49;;71
1994;89;145;;;;;;;54;;57
1993;;;;;;;;;51;;
