year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;33.000;18.000;19.000;12.000;16.000;7.000;14.000;9.000;15.000;9.000;10.000
2012;22.000;16.000;23.000;12.000;13.000;9.000;22.000;10.000;12.000;10.000;7.000
2011;15.000;15.000;12.000;15.000;10.000;10.000;17.000;5.000;12.000;6.000;16.000
2010;17.000;14.000;6.000;12.000;6.000;12.000;12.000;8.000;11.000;10.000;15.000
2009;15.000;7.000;5.000;8.000;5.000;7.000;21.000;9.000;17.000;12.000;16.000
2008;19.000;13.000;7.000;6.000;;3.000;17.000;6.000;6.000;12.000;23.000
2007;18.000;19.000;13.000;11.000;;12.000;19.000;9.000;25.000;12.000;23.000
2006;19.000;17.000;3.000;10.000;;17.000;19.000;10.000;6.000;7.000;17.000
2005;18.000;25.000;5.000;15.000;;15.000;13.000;10.000;22.000;10.000;16.000
2004;37.000;14.000;12.000;15.000;;19.000;15.000;5.000;11.000;;13.000
2003;16.000;15.000;11.000;29.000;;;18.000;7.000;21.000;;14.000
2002;22.000;34.000;9.000;14.000;;;15.000;7.000;5.000;;9.000
2001;24.000;33.000;7.000;11.000;;;;11.000;15.000;;20.000
2000;21.000;10.000;6.000;;;;;;13.000;;14.000
1999;18.000;26.000;10.000;;;;;;14.000;;16.000
1998;23.000;14.000;;;;;;;16.000;;
1997;;;;;;;;;19.000;;
