year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.184;0.221;0.392;0.362;0.360;0.351;0.223;0.302;0.203;0.483;0.169
2012;0.213;0.254;0.381;0.278;0.281;0.429;0.239;0.451;0.169;0.400;0.152
2011;0.141;0.283;0.260;0.307;0.328;0.327;0.293;0.286;0.167;0.364;0.147
2010;0.142;0.271;0.324;0.300;0.314;0.305;0.260;0.316;0.195;0.378;0.178
2009;0.123;0.216;0.253;0.314;0.277;0.290;0.250;0.297;0.157;0.447;0.171
2008;0.148;0.256;0.286;0.276;0.190;0.309;0.252;0.333;0.204;0.377;0.125
2007;0.147;0.215;0.310;0.341;;0.306;0.199;0.333;0.167;0.257;0.119
2006;0.091;0.306;0.286;0.415;;0.294;0.163;0.315;0.200;0.347;0.182
2005;0.141;0.306;0.362;0.407;;0.291;0.253;0.444;0.174;0.375;0.096
2004;0.133;0.311;0.359;0.532;;0.333;0.308;0.500;0.166;0.410;0.137
2003;0.130;0.361;0.461;0.339;;0.339;0.292;0.404;0.214;0.465;0.129
2002;0.149;0.480;0.458;0.421;;0.462;0.350;0.614;0.133;0.739;0.202
2001;0.175;0.416;;0.322;;0.209;0.311;0.636;0.212;0.767;0.195
2000;0.134;;;0.382;;0.379;0.350;0.615;0.228;;0.230
1999;0.208;0.490;;;;;;;0.206;;0.203
1998;0.196;0.371;;0.348;;;0.288;;;;0.160
1997;0.228;;0.571;0.614;;;;;0.139;;0.296
1996;0.244;;;;;;;;;;
1995;0.181;;;;;;;;0.100;;
