year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.271;0.361;0.342;0.414;0.452;0.450;0.120;0.474;0.255;0.143;0.279
2012;0.195;0.500;0.422;0.200;0.667;0.133;0.156;0.348;0.206;0.312;0.381
2011;0.306;0.500;0.481;0.290;0.500;0.278;0.138;0.444;0.176;0.312;0.162
2010;0.315;0.389;0.364;0.292;0.562;0.167;0.200;0.625;0.121;0.118;0.176
2009;0.200;0.457;0.500;0.318;0.538;0.333;0.194;0.364;0.235;0.353;0.184
2008;0.200;0.475;0.550;0.417;0.500;0.235;0.133;0.632;0.226;0.435;0.257
2007;0.122;0.413;0.370;0.448;0.481;0.000;0.107;0.591;0.286;0.316;0.216
2006;0.139;0.378;0.708;0.481;0.448;0.160;0.111;0.261;0.280;0.529;0.136
2005;0.159;0.309;0.476;0.242;0.318;0.120;0.040;0.333;0.114;0.389;0.143
2004;0.276;0.368;0.286;0.152;;0.080;0.143;0.476;0.214;0.438;0.280
2003;0.286;0.231;0.371;0.175;;0.143;0.038;0.333;0.083;0.300;0.227
2002;0.178;0.344;0.455;0.292;;0.056;0.000;0.407;0.294;0.529;0.368
2001;0.149;0.373;0.522;0.421;;0.111;0.087;0.500;0.207;0.391;0.344
2000;0.267;0.280;0.438;0.333;;0.000;0.095;0.250;0.238;;0.217
1999;0.304;0.388;0.552;0.222;;;0.000;0.583;0.103;;0.240
1998;0.195;0.417;0.440;0.217;;;0.000;0.458;0.042;;0.417
1997;0.160;0.343;0.625;0.148;;;;0.682;0.111;;0.188
1996;0.058;0.417;0.391;;;;;;0.176;;
1995;0.143;0.432;0.556;;;;;;0.067;;0.304
1994;0.071;0.273;;;;;;;0.176;;0.190
1993;;;;;;;;;0.105;;
