year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.560;0.408;0.369;0.578;0.370;0.481;0.767;0.340;0.568;0.417;0.424
2012;0.333;0.343;0.385;0.547;0.317;0.656;0.613;0.579;0.500;0.429;0.636
2011;0.358;0.375;0.345;0.577;0.293;0.462;0.556;0.426;0.448;0.571;0.628
2010;0.311;0.365;0.295;0.538;0.250;0.500;0.593;0.409;0.444;0.417;0.610
2009;0.477;0.420;0.340;0.519;0.257;0.355;0.483;0.354;0.655;0.500;0.605
2008;0.610;0.500;0.443;0.519;;0.391;0.567;0.357;0.520;0.622;0.681
2007;0.583;0.449;0.268;0.410;;0.593;0.643;0.396;0.571;0.361;0.600
2006;0.556;0.400;0.238;0.349;;0.379;0.600;0.378;0.552;0.265;0.605
2005;0.522;0.317;0.225;0.627;;0.550;0.760;0.182;0.576;0.206;0.519
2004;0.520;0.404;0.175;0.550;;0.714;0.750;0.116;0.462;;0.640
2003;0.378;0.456;0.108;0.500;;;0.429;0.216;0.645;;0.582
2002;0.521;0.411;0.244;0.538;;;0.500;0.270;0.478;;0.431
2001;0.342;0.406;0.190;0.533;;;;0.125;0.676;;0.426
2000;0.468;0.429;0.316;;;;;;0.346;;0.370
1999;0.465;0.400;0.357;;;;;;0.696;;0.472
1998;0.553;0.389;;;;;;;0.458;;
1997;;;;;;;;;0.846;;
