year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.823;0.800;0.805;0.856;0.864;;0.923;0.803;0.869;0.850;
2012;0.770;0.773;0.842;0.885;0.790;0.923;0.939;0.775;0.822;0.980;0.857
2011;0.803;0.876;0.914;0.917;0.843;0.934;0.857;0.818;0.868;0.872;0.908
2010;0.793;0.849;0.849;0.833;0.755;0.904;0.823;0.825;0.824;0.925;0.883
2009;0.823;0.812;0.867;0.818;0.718;0.792;0.915;0.847;0.887;0.857;0.887
2008;0.852;0.800;0.907;0.739;0.758;0.756;0.955;0.804;0.798;0.800;0.876
2007;0.921;0.810;0.833;0.803;0.676;0.938;0.921;0.807;0.914;0.833;0.929
2006;0.924;0.795;0.869;0.709;0.736;0.917;0.910;0.857;0.754;0.902;0.922
2005;0.847;0.806;0.817;0.818;;0.884;0.871;0.935;0.929;0.886;0.893
2004;0.924;0.875;0.861;0.763;;0.862;0.908;0.833;0.850;0.881;0.882
2003;0.879;0.800;0.774;0.916;;0.883;0.968;0.820;0.910;0.920;0.917
2002;0.863;0.794;0.758;0.875;;0.949;0.833;0.774;0.778;0.717;0.857
2001;0.825;0.880;0.759;0.915;;0.941;0.922;0.818;0.904;;0.887
2000;0.846;0.844;0.718;0.750;;;0.979;0.796;0.878;;0.946
1999;0.869;0.835;0.730;0.792;;;1.000;0.582;0.944;;0.851
1998;0.842;0.766;0.738;0.925;;;;0.818;0.894;;0.839
1997;0.929;0.813;0.627;;;;;;0.892;;0.930
1996;0.930;0.762;0.654;;;;;;0.867;;
1995;0.928;0.663;;;;;;;0.852;;0.920
1994;;;;;;;;;0.800;;
