year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2014;;;;0.443;;;;;;;
2013;0.780;0.535;0.292;0.203;0.326;0.889;0.567;0.740;0.676;0.139;0.727
2012;0.708;0.386;0.354;0.188;0.341;0.781;0.645;0.711;0.917;0.357;0.341
2011;0.660;0.412;0.455;0.493;0.415;0.769;0.667;0.370;0.724;0.500;0.488
2010;0.644;0.459;0.273;0.338;0.278;0.615;0.630;0.159;0.778;0.444;0.244
2009;0.659;0.531;0.260;0.352;0.429;0.774;0.586;0.271;0.793;0.158;0.342
2008;0.732;0.354;0.475;0.558;0.188;0.696;0.733;0.268;0.720;0.333;0.404
2007;0.833;0.247;0.171;0.359;0.406;0.926;0.750;0.312;0.714;0.222;0.400
2006;0.750;0.438;0.143;0.488;0.391;0.828;0.720;0.351;0.724;0.176;0.465
2005;0.674;0.517;0.300;0.333;0.500;0.850;0.760;0.364;0.788;0.088;0.231
2004;0.740;0.351;0.350;0.350;;0.810;0.900;0.395;0.885;0.263;0.300
2003;0.689;0.211;0.243;0.184;;0.696;0.786;0.189;0.871;0.256;0.291
2002;0.771;0.260;0.195;0.487;;0.920;0.750;0.270;0.870;0.406;0.176
2001;0.658;0.547;0.619;0.200;;0.900;0.667;0.312;0.757;;0.148
2000;0.809;0.310;0.158;0.441;;;0.800;0.296;0.846;;0.259
1999;0.698;0.415;0.464;0.283;;;0.231;0.167;0.913;;0.170
1998;0.605;0.278;0.116;0.822;;;;0.273;0.792;;0.508
1997;0.860;0.163;0.348;;;;;;0.846;;0.633
1996;0.857;0.391;0.366;;;;;;0.889;;0.367
1995;0.774;0.556;;;;;;;0.913;;0.370
1994;;;;;;;;;0.706;;
