year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.388;0.500;0.500;0.414;0.444;0.350;0.560;0.474;0.294;0.643;0.233
2012;0.253;0.348;0.511;0.400;0.448;0.600;0.688;0.435;0.353;0.625;0.333
2011;0.242;0.417;0.444;0.484;0.385;0.556;0.586;0.278;0.353;0.375;0.432
2010;0.315;0.389;0.273;0.500;0.286;0.667;0.480;0.333;0.333;0.588;0.441
2009;0.300;0.200;0.250;0.364;0.385;0.389;0.677;0.409;0.500;0.706;0.421
2008;0.345;0.325;0.350;0.250;;0.176;0.567;0.316;0.194;0.522;0.657
2007;0.367;0.413;0.481;0.379;;0.632;0.679;0.409;0.595;0.632;0.622
2006;0.528;0.378;0.125;0.370;;0.680;0.704;0.435;0.240;0.412;0.773
2005;0.409;0.455;0.238;0.455;;0.600;0.520;0.417;0.629;0.556;0.571
2004;0.638;0.368;0.429;0.455;;0.760;0.536;0.238;0.393;;0.520
2003;0.381;0.385;0.314;0.725;;;0.692;0.333;0.583;;0.636
2002;0.489;0.557;0.273;0.583;;;0.714;0.259;0.294;;0.474
2001;0.511;0.493;0.304;0.579;;;;0.393;0.517;;0.625
2000;0.467;0.400;0.188;;;;;;0.619;;0.609
1999;0.321;0.531;0.345;;;;;;0.483;;0.640
1998;0.561;0.389;;;;;;;0.667;;
1997;;;;;;;;;0.704;;
