year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;49;23;22;13;15;3;6;13;23;6;17
2012;62;35;22;11;16;4;7;16;18;1;10
2011;39;14;8;8;12;4;13;10;16;5;11
2010;40;16;11;12;13;5;14;11;19;4;14
2009;26;22;8;10;5;11;8;11;13;5;13
2008;24;21;5;18;9;11;4;11;20;12;12
2007;11;27;12;15;22;3;6;11;12;8;7
2006;8;25;8;23;19;5;6;9;17;4;5
2005;21;27;11;16;;8;9;4;7;5;9
2004;14;13;10;18;;9;7;9;12;5;8
2003;15;21;21;8;;7;2;9;7;4;5
2002;17;32;22;7;;2;9;14;10;13;8
2001;21;22;13;5;;1;5;12;8;;9
2000;19;10;20;13;;;1;11;6;;3
1999;20;19;17;10;;;0;23;4;;7
1998;15;18;16;4;;;;12;5;;9
1997;10;17;19;;;;;;8;;5
1996;9;20;18;;;;;;6;;
1995;6;30;;;;;;;4;;4
1994;;;;;;;;;8;;
