year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;11;33;46;51;31;3;13;13;12;31;9
2012;14;43;42;52;27;7;11;11;3;27;29
2011;18;47;30;36;24;6;9;34;8;21;22
2010;16;40;32;43;26;10;10;37;6;20;31
2009;15;38;37;35;20;7;12;35;6;32;25
2008;11;53;32;23;26;7;8;41;7;30;28
2007;6;67;34;25;19;2;7;33;8;28;21
2006;9;45;36;22;14;5;7;24;8;28;23
2005;15;29;28;34;10;3;6;21;7;31;40
2004;13;37;26;26;;4;2;26;3;28;35
2003;14;45;28;31;;7;3;30;4;29;39
2002;11;54;33;20;;2;3;27;3;19;42
2001;13;29;16;24;;1;4;22;9;;46
2000;9;29;16;19;;;3;19;4;;40
1999;13;38;30;33;;;10;30;2;;44
1998;15;39;38;8;;;;24;5;;29
1997;7;36;30;;;;;;6;;18
1996;5;28;26;;;;;;2;;19
1995;7;20;;;;;;;2;;17
1994;;;;;;;;;5;;
