year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;63;62;69;64;44;11;19;32;41;39;28
2012;84;80;60;65;42;13;21;30;28;30;43
2011;63;67;41;48;38;17;22;43;28;29;36
2010;61;60;42;59;34;20;25;44;27;28;45
2009;47;71;45;47;35;24;19;46;21;38;37
2008;40;78;39;39;38;23;15;52;31;38;39
2007;21;91;40;40;40;10;13;51;26;35;28
2006;21;70;41;46;32;17;16;32;27;28;30
2005;41;57;41;49;;16;17;29;14;33;49
2004;30;51;40;45;;18;12;46;18;34;46
2003;37;65;48;37;;20;8;41;15;33;44
2002;36;76;52;27;;4;14;40;18;30;49
2001;38;50;35;27;;3;11;32;18;;54
2000;34;39;35;30;;;6;27;12;;47
1999;38;53;48;46;;;10;46;11;;53
1998;33;54;50;12;;;;32;15;;40
1997;22;50;46;;;;;;14;;25
1996;17;44;45;;;;;;10;;
1995;18;49;;;;;;;10;;24
1994;;;;;;;;;13;;
