year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2014;496;210;;;85;;125;;280;;276
2013;461;163;97;80;86;57;112;63;251;29;254
2012;408;181;118;108;64;35;134;51;201;40;138
2011;441;127;104;101;61;55;99;63;203;44;252
2010;380;133;68;80;51;59;96;76;169;45;191
2009;405;162;79;70;47;62;124;74;217;38;222
2008;371;156;70;87;42;55;119;57;152;61;280
2007;334;214;87;85;;62;141;66;251;74;312
2006;395;147;84;65;;85;166;73;125;49;121
2005;313;180;58;81;;86;99;54;201;48;291
2004;436;122;78;62;;75;91;42;169;39;183
2003;324;108;76;118;;62;89;52;168;43;170
2002;303;127;72;57;;39;60;44;128;23;94
2001;268;161;;59;;43;74;44;137;30;164
2000;335;;;55;;29;60;39;92;;100
1999;269;100;;;;;;;141;;123
1998;209;97;;66;;;59;;;;150
1997;219;;42;44;;;;;194;;108
1996;213;;;;;;;;;;
1995;155;;;;;;;;150;;
