year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;1.660;0.366;0.354;0.250;0.304;0.148;0.500;0.260;1.054;0.278;0.879
2012;1.688;0.486;0.246;0.266;0.268;0.188;0.581;0.184;0.917;0.143;0.341
2011;1.321;0.188;0.200;0.282;0.122;0.192;0.889;0.167;1.103;0.143;0.674
2010;1.156;0.297;0.227;0.200;;0.346;0.667;0.205;1.222;0.111;0.439
2009;1.000;0.346;0.180;0.241;;0.355;0.517;0.271;0.966;0.211;0.579
2008;0.707;0.280;0.082;0.288;;0.652;0.367;0.268;0.920;0.222;0.234
2007;0.750;0.348;0.244;0.436;;0.407;0.357;0.271;0.714;0.111;0.286
2006;0.833;0.388;0.286;0.442;;0.414;0.440;0.297;0.586;;0.233
2005;0.717;0.400;0.325;0.510;;;0.680;0.182;0.455;;0.250
2004;0.540;0.456;0.500;0.550;;;0.600;0.209;0.462;;0.200
2003;0.778;0.649;0.595;0.395;;;;0.378;0.290;;0.109
2002;0.604;0.411;0.463;;;;;;0.435;;0.216
2001;0.842;0.453;0.452;;;;;;0.216;;0.185
2000;0.638;0.476;;;;;;;0.231;;
1999;;;;;;;;;0.609;;
