year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;3.551;0.831;0.694;0.688;0.674;0.630;1.567;0.540;2.432;0.472;1.939
2012;3.600;1.014;0.523;0.594;0.683;0.625;1.323;1.026;2.000;0.262;1.227
2011;2.308;0.625;0.473;0.507;0.659;0.962;1.519;0.630;2.483;0.405;1.488
2010;2.171;0.757;0.636;0.508;1.028;0.962;1.520;0.705;2.185;0.556;1.146
2009;2.000;0.901;0.540;0.759;1.000;0.806;0.897;0.688;2.172;0.342;0.974
2008;2.447;0.866;0.443;0.769;;1.391;0.933;0.518;2.320;0.422;0.511
2007;2.343;0.674;0.756;1.026;;1.222;1.143;0.583;1.536;0.389;0.714
2006;2.029;0.688;0.881;0.791;;0.862;1.240;0.676;1.276;0.265;0.558
2005;1.867;1.100;0.975;0.843;;1.400;1.640;0.848;1.091;0.382;0.558
2004;1.489;1.158;1.231;0.875;;0.857;1.950;0.721;1.231;;0.640
2003;1.659;1.351;1.541;0.816;;;1.714;0.838;1.097;;0.400
2002;1.556;0.726;1.244;0.821;;;1.667;0.946;1.261;;0.392
2001;1.946;0.734;0.857;0.833;;;;0.906;0.892;;0.426
2000;1.304;1.167;2.684;;;;;;0.846;;0.370
1999;1.419;0.615;0.518;;;;;;1.478;;0.340
1998;1.105;1.000;;;;;;;0.917;;
1997;;;;;;;;;0.795;;
