year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.181;0.149;0.158;0.135;0.319;0.058;0.053;0.183;0.228;0.122;0.243
2012;0.313;0.310;0.237;0.115;0.271;0.066;0.077;0.291;0.149;0.026;0.084
2011;0.202;0.132;0.110;0.111;0.293;0.077;0.165;0.159;0.148;0.094;0.092
2010;0.272;0.137;0.183;0.218;0.333;0.094;0.149;0.153;0.165;0.114;0.122
2009;0.160;0.210;0.148;0.145;0.192;0.244;0.091;0.196;0.131;0.083;0.134
2008;0.171;0.148;0.069;0.237;0.132;0.229;0.053;0.193;0.143;0.250;0.121
2007;0.105;0.221;0.197;0.190;0.306;0.050;0.090;0.175;0.174;0.195;0.109
2006;0.058;0.180;0.133;0.261;0.322;0.072;0.086;0.145;0.173;0.091;0.060
2005;0.114;0.260;0.153;0.211;;0.123;0.118;0.074;0.087;0.119;0.132
2004;0.113;0.124;0.108;0.189;;0.150;0.113;0.180;0.154;0.100;0.133
2003;0.121;0.135;0.231;0.143;;0.179;0.037;0.145;0.156;0.087;0.089
2002;0.142;0.175;0.407;0.119;;0.118;0.141;0.212;0.120;0.220;0.100
2001;0.171;0.344;0.183;0.096;;0.040;0.104;0.222;0.163;;0.161
2000;0.124;0.087;0.317;0.271;;;0.045;0.200;0.083;;0.064
1999;0.211;0.247;0.279;0.189;;;0.000;0.348;0.085;;0.125
1998;0.106;0.198;0.314;0.089;;;;0.235;0.068;;0.127
1997;0.078;0.202;0.365;;;;;;0.178;;0.100
1996;0.108;0.225;0.310;;;;;;0.222;;
1995;0.098;0.275;;;;;;;0.100;;0.103
1994;;;;;;;;;0.205;;
