year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2014;;;;0.766;;;;;;;
2013;0.229;0.471;0.708;0.797;0.756;0.094;0.419;0.342;0.333;0.738;0.205
2012;0.264;0.537;0.764;0.732;0.659;0.269;0.407;0.204;0.103;0.643;0.674
2011;0.400;0.635;0.682;0.554;0.667;0.231;0.333;0.773;0.296;0.583;0.537
2010;0.364;0.494;0.640;0.796;0.743;0.323;0.345;0.771;0.207;0.526;0.816
2009;0.366;0.463;0.607;0.673;0.625;0.304;0.400;0.625;0.240;0.711;0.532
2008;0.306;0.596;0.780;0.590;0.812;0.259;0.286;0.854;0.250;0.833;0.800
2007;0.167;0.838;0.810;0.581;0.826;0.069;0.280;0.892;0.276;0.824;0.488
2006;0.196;0.750;0.900;0.431;0.700;0.250;0.280;0.727;0.242;0.824;0.442
2005;0.300;0.509;0.700;0.850;0.909;0.143;0.300;0.488;0.269;0.816;0.800
2004;0.289;0.649;0.703;0.684;;0.174;0.143;0.703;0.097;0.718;0.636
2003;0.292;0.616;0.683;0.795;;0.280;0.250;0.811;0.174;0.906;0.765
2002;0.289;0.844;0.786;0.667;;0.200;0.250;0.844;0.081;0.576;0.778
2001;0.277;0.690;0.842;0.706;;0.143;0.267;0.815;0.346;;0.852
2000;0.209;0.446;0.286;0.413;;;0.231;0.528;0.174;;0.755
1999;0.342;0.704;0.698;0.733;;;0.714;0.909;0.083;;0.746
1998;0.300;0.907;0.826;0.615;;;;0.649;0.128;;0.592
1997;0.200;0.783;0.732;;;;;;0.333;;0.600
1996;0.161;0.622;0.722;;;;;;0.087;;0.704
1995;0.233;0.455;;;;;;;0.118;;0.810
1994;;;;;;;;;0.357;;
