year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.209;0.312;0.371;0.424;0.407;0.133;0.136;0.320;0.315;0.459;0.257
2012;0.357;0.460;0.448;0.411;0.372;0.159;0.184;0.309;0.193;0.390;0.274
2011;0.280;0.409;0.376;0.366;0.469;0.227;0.214;0.457;0.214;0.333;0.232
2010;0.337;0.326;0.416;0.573;0.523;0.256;0.214;0.400;0.199;0.424;0.306
2009;0.241;0.418;0.446;0.427;0.417;0.381;0.165;0.455;0.179;0.400;0.272
2008;0.234;0.371;0.375;0.368;0.427;0.307;0.149;0.553;0.197;0.487;0.310
2007;0.153;0.497;0.460;0.370;0.482;0.116;0.146;0.543;0.280;0.538;0.269
2006;0.120;0.385;0.456;0.351;0.438;0.198;0.170;0.368;0.213;0.412;0.227
2005;0.186;0.390;0.398;0.441;;0.190;0.185;0.333;0.140;0.452;0.438
2004;0.191;0.331;0.339;0.360;;0.222;0.160;0.575;0.168;0.420;0.418
2003;0.227;0.314;0.407;0.416;;0.317;0.121;0.466;0.238;0.493;0.440
2002;0.238;0.341;0.612;0.338;;0.154;0.189;0.476;0.158;0.366;0.398
2001;0.239;0.515;0.438;0.338;;0.094;0.180;0.432;0.265;;0.509
2000;0.186;0.242;0.350;0.341;;;0.171;0.360;0.130;;0.500
1999;0.302;0.449;0.522;0.495;;;0.182;0.548;0.157;;0.505
1998;0.179;0.443;0.617;0.218;;;;0.438;0.136;;0.354
1997;0.138;0.427;0.554;;;;;;0.233;;0.352
1996;0.155;0.367;0.570;;;;;;0.204;;
1995;0.202;0.338;;;;;;;0.185;;0.421
1994;;;;;;;;;0.255;;
