YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;64;1;96;0.010;0.030;0.016;142;90;8;224;0.036;0.056;0.089;164;141;10;295;0.034;0.061;0.071
2012;44;64;2;106;0.019;0.045;0.031;70;96;0;166;0.000;0.000;0.000;109;151;4;256;0.016;0.037;0.026
2011;43;71;0;114;0.000;0.000;0.000;119;96;0;215;0.000;0.000;0.000;157;158;3;312;0.010;0.019;0.019
2010;41;65;1;105;0.010;0.024;0.015;120;72;2;190;0.011;0.017;0.028;155;131;4;282;0.014;0.026;0.031
2009;38;54;0;92;0.000;0.000;0.000;115;55;0;170;0.000;0.000;0.000;147;103;0;250;0.000;0.000;0.000
2008;47;52;1;98;0.010;0.021;0.019;97;69;4;162;0.025;0.041;0.058;136;110;4;242;0.017;0.029;0.036
2007;35;39;0;74;0.000;0.000;0.000;99;76;0;175;0.000;0.000;0.000;126;106;2;230;0.009;0.016;0.019
2006;43;43;2;84;0.024;0.047;0.047;64;79;4;139;0.029;0.062;0.051;104;108;6;206;0.029;0.058;0.056
2005;52;51;0;103;0.000;0.000;0.000;84;88;3;169;0.018;0.036;0.034;132;131;5;258;0.019;0.038;0.038
2004;50;40;1;89;0.011;0.020;0.025;68;76;1;143;0.007;0.015;0.013;112;111;2;221;0.009;0.018;0.018
2003;55;38;0;93;0.000;0.000;0.000;60;95;0;155;0.000;0.000;0.000;110;125;0;235;0.000;0.000;0.000
2002;51;39;0;90;0.000;0.000;0.000;56;56;1;111;0.009;0.018;0.018;100;89;3;186;0.016;0.030;0.034
2001;54;30;0;84;0.000;0.000;0.000;80;59;0;139;0.000;0.000;0.000;123;80;0;203;0.000;0.000;0.000
2000;54;34;0;88;0.000;0.000;0.000;56;52;0;108;0.000;0.000;0.000;106;80;1;185;0.005;0.009;0.013
1999;53;46;0;99;0.000;0.000;0.000;47;48;0;95;0.000;0.000;0.000;94;88;0;182;0.000;0.000;0.000
1998;59;45;0;104;0.000;0.000;0.000;56;53;0;109;0.000;0.000;0.000;105;93;0;198;0.000;0.000;0.000
1997;49;13;0;62;0.000;0.000;0.000;71;45;0;116;0.000;0.000;0.000;113;55;1;167;0.006;0.009;0.018
