YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;30;3;60;0.050;0.091;0.100;142;78;4;216;0.019;0.028;0.051;164;105;6;263;0.023;0.037;0.057
2012;44;31;4;71;0.056;0.091;0.129;70;114;2;182;0.011;0.029;0.018;109;140;8;241;0.033;0.073;0.057
2011;43;27;4;66;0.061;0.093;0.148;119;91;6;204;0.029;0.050;0.066;157;114;13;258;0.050;0.083;0.114
2010;41;27;5;63;0.079;0.122;0.185;120;79;5;194;0.026;0.042;0.063;155;103;12;246;0.049;0.077;0.117
2009;38;29;5;62;0.081;0.132;0.172;115;94;11;198;0.056;0.096;0.117;147;117;17;247;0.069;0.116;0.145
2008;47;30;4;73;0.055;0.085;0.133;97;88;1;184;0.005;0.010;0.011;136;115;6;245;0.024;0.044;0.052
2007;35;28;2;61;0.033;0.057;0.071;99;76;0;175;0.000;0.000;0.000;126;101;7;220;0.032;0.056;0.069
2006;43;25;5;63;0.079;0.116;0.200;64;67;4;127;0.031;0.062;0.060;104;89;10;183;0.055;0.096;0.112
2005;52;25;0;77;0.000;0.000;0.000;84;70;2;152;0.013;0.024;0.029;132;94;6;220;0.027;0.045;0.064
2004;50;20;0;70;0.000;0.000;0.000;68;76;1;143;0.007;0.015;0.013;112;92;5;199;0.025;0.045;0.054
2003;55;14;0;69;0.000;0.000;0.000;60;62;0;122;0.000;0.000;0.000;110;75;0;185;0.000;0.000;0.000
2002;51;12;0;63;0.000;0.000;0.000;56;54;0;110;0.000;0.000;0.000;100;66;0;166;0.000;0.000;0.000
2001;54;12;0;66;0.000;0.000;0.000;80;64;1;143;0.007;0.013;0.016;123;74;1;196;0.005;0.008;0.014
2000;54;15;1;68;0.015;0.019;0.067;56;48;0;104;0.000;0.000;0.000;106;61;1;166;0.006;0.009;0.016
1999;53;13;0;66;0.000;0.000;0.000;47;22;0;69;0.000;0.000;0.000;94;35;0;129;0.000;0.000;0.000
1998;59;14;1;72;0.014;0.017;0.071;56;41;0;97;0.000;0.000;0.000;105;55;2;158;0.013;0.019;0.036
