YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;37;9;61;0.148;0.273;0.243;142;176;19;299;0.064;0.134;0.108;164;202;33;333;0.099;0.201;0.163
2012;44;36;2;78;0.026;0.045;0.056;70;101;16;155;0.103;0.229;0.158;109;130;22;217;0.101;0.202;0.169
2011;43;29;2;70;0.029;0.047;0.069;119;121;11;229;0.048;0.092;0.091;157;145;19;283;0.067;0.121;0.131
2010;41;27;3;65;0.046;0.073;0.111;120;108;9;219;0.041;0.075;0.083;155;131;15;271;0.055;0.097;0.115
2009;38;29;1;66;0.015;0.026;0.034;115;115;15;215;0.070;0.130;0.130;147;136;18;265;0.068;0.122;0.132
2008;47;25;4;68;0.059;0.085;0.160;97;99;4;192;0.021;0.041;0.040;136;117;11;242;0.045;0.081;0.094
2007;35;28;4;59;0.068;0.114;0.143;99;140;12;227;0.053;0.121;0.086;126;157;16;267;0.060;0.127;0.102
2006;43;29;2;70;0.029;0.047;0.069;64;69;5;128;0.039;0.078;0.072;104;93;9;188;0.048;0.087;0.097
2005;52;33;8;77;0.104;0.154;0.242;84;98;5;177;0.028;0.060;0.051;132;127;15;244;0.061;0.114;0.118
2004;50;26;0;76;0.000;0.000;0.000;68;80;4;144;0.028;0.059;0.050;112;100;9;203;0.044;0.080;0.090
2003;55;31;5;81;0.062;0.091;0.161;60;78;6;132;0.045;0.100;0.077;110;107;13;204;0.064;0.118;0.121
2002;51;23;1;73;0.014;0.020;0.043;56;45;3;98;0.031;0.054;0.067;100;63;6;157;0.038;0.060;0.095
2001;54;37;3;88;0.034;0.056;0.081;80;83;5;158;0.032;0.062;0.060;123;114;9;228;0.039;0.073;0.079
2000;54;26;1;79;0.013;0.019;0.038;56;49;3;102;0.029;0.054;0.061;106;68;5;169;0.030;0.047;0.074
1999;53;23;1;75;0.013;0.019;0.043;47;72;2;117;0.017;0.043;0.028;94;92;4;182;0.022;0.043;0.043
1998;59;24;3;80;0.037;0.051;0.125;56;47;0;103;0.000;0.000;0.000;105;70;3;172;0.017;0.029;0.043
1997;49;39;1;87;0.011;0.020;0.026;71;74;6;139;0.043;0.085;0.081;113;110;8;215;0.037;0.071;0.073
1995;27;23;3;47;0.064;0.111;0.130;50;27;0;77;0.000;0.000;0.000;71;49;3;117;0.026;0.042;0.061
1994;21;17;1;37;0.027;0.048;0.059;39;40;0;79;0.000;0.000;0.000;57;54;2;109;0.018;0.035;0.037
