YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;27;1;59;0.017;0.030;0.037;142;67;5;204;0.025;0.035;0.075;164;88;9;243;0.037;0.055;0.102
2012;44;32;1;75;0.013;0.023;0.031;70;52;1;121;0.008;0.014;0.019;109;83;2;190;0.011;0.018;0.024
2011;43;26;2;67;0.030;0.047;0.077;119;61;0;180;0.000;0.000;0.000;157;82;2;237;0.008;0.013;0.024
2010;41;26;3;64;0.047;0.073;0.115;120;52;0;172;0.000;0.000;0.000;155;75;4;226;0.018;0.026;0.053
2009;38;31;6;63;0.095;0.158;0.194;115;53;1;167;0.006;0.009;0.019;147;78;7;218;0.032;0.048;0.090
2008;47;23;0;70;0.000;0.000;0.000;97;45;3;139;0.022;0.031;0.067;136;63;7;192;0.036;0.051;0.111
2007;35;27;0;62;0.000;0.000;0.000;99;48;1;146;0.007;0.010;0.021;126;75;2;199;0.010;0.016;0.027
2006;43;29;1;71;0.014;0.023;0.034;64;60;1;123;0.008;0.016;0.017;104;86;4;186;0.022;0.038;0.047
2005;52;20;2;70;0.029;0.038;0.100;84;69;3;150;0.020;0.036;0.043;132;86;5;213;0.023;0.038;0.058
2004;50;21;2;69;0.029;0.040;0.095;68;65;0;133;0.000;0.000;0.000;112;84;2;194;0.010;0.018;0.024
2003;55;23;1;77;0.013;0.018;0.043;60;60;2;118;0.017;0.033;0.033;110;81;5;186;0.027;0.045;0.062
2002;51;25;1;75;0.013;0.020;0.040;56;39;1;94;0.011;0.018;0.026;100;63;3;160;0.019;0.030;0.048
2001;54;10;0;64;0.000;0.000;0.000;80;17;0;97;0.000;0.000;0.000;123;26;0;149;0.000;0.000;0.000
2000;54;7;0;61;0.000;0.000;0.000;56;25;0;81;0.000;0.000;0.000;106;32;2;136;0.015;0.019;0.062
