YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;50;3;80;0.037;0.091;0.060;142;66;3;205;0.015;0.021;0.045;164;106;9;261;0.034;0.055;0.085
2012;44;38;0;82;0.000;0.000;0.000;70;71;4;137;0.029;0.057;0.056;109;100;6;203;0.030;0.055;0.060
2011;43;54;1;96;0.010;0.023;0.019;119;55;1;173;0.006;0.008;0.018;157;97;4;250;0.016;0.025;0.041
2010;41;44;1;84;0.012;0.024;0.023;120;63;2;181;0.011;0.017;0.032;155;94;3;246;0.012;0.019;0.032
2009;38;48;2;84;0.024;0.053;0.042;115;72;0;187;0.000;0.000;0.000;147;110;3;254;0.012;0.020;0.027
2008;47;56;2;101;0.020;0.043;0.036;97;56;3;150;0.020;0.031;0.054;136;101;7;230;0.030;0.051;0.069
2007;35;48;2;81;0.025;0.057;0.042;99;57;3;153;0.020;0.030;0.053;126;94;8;212;0.038;0.063;0.085
2006;43;37;3;77;0.039;0.070;0.081;64;63;1;126;0.008;0.016;0.016;104;94;5;193;0.026;0.048;0.053
2005;52;33;3;82;0.037;0.058;0.091;84;62;1;145;0.007;0.012;0.016;132;87;6;213;0.028;0.045;0.069
2004;50;43;1;92;0.011;0.020;0.023;68;54;1;121;0.008;0.015;0.019;112;87;3;196;0.015;0.027;0.034
2003;55;37;0;92;0.000;0.000;0.000;60;50;1;109;0.009;0.017;0.020;110;80;1;189;0.005;0.009;0.013
2002;51;37;0;88;0.000;0.000;0.000;56;62;3;115;0.026;0.054;0.048;100;88;3;185;0.016;0.030;0.034
2001;54;32;1;85;0.012;0.019;0.031;80;66;3;143;0.021;0.037;0.045;123;84;6;201;0.030;0.049;0.071
2000;54;27;2;79;0.025;0.037;0.074;56;54;1;109;0.009;0.018;0.019;106;74;3;177;0.017;0.028;0.041
1999;53;36;1;88;0.011;0.019;0.028;47;55;0;102;0.000;0.000;0.000;94;75;1;168;0.006;0.011;0.013
1998;59;33;1;91;0.011;0.017;0.030;56;66;0;122;0.000;0.000;0.000;105;84;3;186;0.016;0.029;0.036
1997;49;37;1;85;0.012;0.020;0.027;71;51;2;120;0.017;0.028;0.039;113;73;5;181;0.028;0.044;0.068
