YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;50;8;75;0.107;0.242;0.160;142;277;32;387;0.083;0.225;0.116;164;306;47;423;0.111;0.287;0.154
2012;44;48;1;91;0.011;0.023;0.021;70;270;18;322;0.056;0.257;0.067;109;302;23;388;0.059;0.211;0.076
2011;43;53;6;90;0.067;0.140;0.113;119;198;20;297;0.067;0.168;0.101;157;235;35;357;0.098;0.223;0.149
2010;41;45;5;81;0.062;0.122;0.111;120;193;16;297;0.054;0.133;0.083;155;225;29;351;0.083;0.187;0.129
2009;38;44;6;76;0.079;0.158;0.136;115;147;16;246;0.065;0.139;0.109;147;181;30;298;0.101;0.204;0.166
2008;47;41;6;82;0.073;0.128;0.146;97;162;10;249;0.040;0.103;0.062;136;195;23;308;0.075;0.169;0.118
2007;35;36;5;66;0.076;0.143;0.139;99;140;19;220;0.086;0.192;0.136;126;171;26;271;0.096;0.206;0.152
2006;43;36;2;77;0.026;0.047;0.056;64;105;0;169;0.000;0.000;0.000;104;137;5;236;0.021;0.048;0.036
2005;52;46;9;89;0.101;0.173;0.196;84;137;5;216;0.023;0.060;0.036;132;175;17;290;0.059;0.129;0.097
2004;50;50;5;95;0.053;0.100;0.100;68;185;5;248;0.020;0.074;0.027;112;221;12;321;0.037;0.107;0.054
2003;55;45;6;94;0.064;0.109;0.133;60;124;3;181;0.017;0.050;0.024;110;157;8;259;0.031;0.073;0.051
2002;51;48;9;90;0.100;0.176;0.188;56;124;1;179;0.006;0.018;0.008;100;163;11;252;0.044;0.110;0.067
2001;54;38;1;91;0.011;0.019;0.026;80;120;7;193;0.036;0.087;0.058;123;151;10;264;0.038;0.081;0.066
2000;54;47;2;99;0.020;0.037;0.043;56;123;1;178;0.006;0.018;0.008;106;159;6;259;0.023;0.057;0.038
1999;53;43;2;94;0.021;0.038;0.047;47;153;5;195;0.026;0.106;0.033;94;183;11;266;0.041;0.117;0.060
1998;59;38;7;90;0.078;0.119;0.184;56;95;0;151;0.000;0.000;0.000;105;126;10;221;0.045;0.095;0.079
1997;49;50;2;97;0.021;0.041;0.040;71;141;3;209;0.014;0.042;0.021;113;184;5;292;0.017;0.044;0.027
1995;27;31;2;56;0.036;0.074;0.065;50;83;2;131;0.015;0.040;0.024;71;110;4;177;0.023;0.056;0.036
1994;21;30;2;49;0.041;0.095;0.067;39;61;1;99;0.010;0.026;0.016;57;89;5;141;0.035;0.088;0.056
