YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;71;6;98;0.061;0.182;0.085;142;115;11;246;0.045;0.077;0.096;164;175;16;323;0.050;0.098;0.091
2012;44;70;3;111;0.027;0.068;0.043;70;154;16;208;0.077;0.229;0.104;109;199;22;286;0.077;0.202;0.111
2011;43;80;2;121;0.017;0.047;0.025;119;113;4;228;0.018;0.034;0.035;157;174;11;320;0.034;0.070;0.063
2010;41;74;3;112;0.027;0.073;0.041;120;106;12;214;0.056;0.100;0.113;155;164;19;300;0.063;0.123;0.116
2009;38;81;1;118;0.008;0.026;0.012;115;117;5;227;0.022;0.043;0.043;147;184;10;321;0.031;0.068;0.054
2008;47;82;3;126;0.024;0.064;0.037;97;105;5;197;0.025;0.052;0.048;136;170;10;296;0.034;0.074;0.059
2007;35;89;2;122;0.016;0.057;0.022;99;142;9;232;0.039;0.091;0.063;126;210;13;323;0.040;0.103;0.062
2006;43;80;4;119;0.034;0.093;0.050;64;122;2;184;0.011;0.031;0.016;104;183;7;280;0.025;0.067;0.038
2005;52;60;2;110;0.018;0.038;0.033;84;139;8;215;0.037;0.095;0.058;132;182;13;301;0.043;0.098;0.071
2004;50;57;0;107;0.000;0.000;0.000;68;104;8;164;0.049;0.118;0.077;112;146;9;249;0.036;0.080;0.062
2003;55;57;0;112;0.000;0.000;0.000;60;105;3;162;0.019;0.050;0.029;110;154;3;261;0.011;0.027;0.019
2002;51;73;0;124;0.000;0.000;0.000;56;155;1;210;0.005;0.018;0.006;100;207;3;304;0.010;0.030;0.014
2001;54;64;1;117;0.009;0.019;0.016;80;183;1;262;0.004;0.013;0.005;123;223;2;344;0.006;0.016;0.009
2000;54;42;0;96;0.000;0.000;0.000;56;64;2;118;0.017;0.036;0.031;106;97;3;200;0.015;0.028;0.031
1999;53;65;0;118;0.000;0.000;0.000;47;115;0;162;0.000;0.000;0.000;94;161;0;255;0.000;0.000;0.000
1998;59;54;0;113;0.000;0.000;0.000;56;77;0;133;0.000;0.000;0.000;105;118;3;220;0.014;0.029;0.025
1997;49;43;0;92;0.000;0.000;0.000;71;91;2;160;0.013;0.028;0.022;113;122;4;231;0.017;0.035;0.033
1995;27;45;0;72;0.000;0.000;0.000;50;89;0;139;0.000;0.000;0.000;71;120;0;191;0.000;0.000;0.000
1994;21;44;0;65;0.000;0.000;0.000;39;109;2;146;0.014;0.051;0.018;57;145;2;200;0.010;0.035;0.014
