YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;36;1;68;0.015;0.030;0.028;142;40;1;181;0.006;0.007;0.025;164;73;4;233;0.017;0.024;0.055
2012;44;42;1;85;0.012;0.023;0.024;70;49;3;116;0.026;0.043;0.061;109;85;5;189;0.026;0.046;0.059
2011;43;42;1;84;0.012;0.023;0.024;119;39;2;156;0.013;0.017;0.051;157;77;3;231;0.013;0.019;0.039
2010;41;36;1;76;0.013;0.024;0.028;120;53;4;169;0.024;0.033;0.075;155;87;6;236;0.025;0.039;0.069
2009;38;38;0;76;0.000;0.000;0.000;115;35;0;150;0.000;0.000;0.000;147;66;3;210;0.014;0.020;0.045
2008;47;45;0;92;0.000;0.000;0.000;97;60;0;157;0.000;0.000;0.000;136;95;1;230;0.004;0.007;0.011
2007;35;36;0;71;0.000;0.000;0.000;99;48;0;147;0.000;0.000;0.000;126;78;0;204;0.000;0.000;0.000
2006;43;34;1;76;0.013;0.023;0.029;64;41;3;102;0.029;0.047;0.073;104;65;5;164;0.030;0.048;0.077
2005;52;34;0;86;0.000;0.000;0.000;84;44;0;128;0.000;0.000;0.000;132;68;1;199;0.005;0.008;0.015
2004;50;38;0;88;0.000;0.000;0.000;68;42;0;110;0.000;0.000;0.000;112;73;0;185;0.000;0.000;0.000
2003;55;39;0;94;0.000;0.000;0.000;60;50;2;108;0.019;0.033;0.040;110;81;2;189;0.011;0.018;0.025
2002;51;32;0;83;0.000;0.000;0.000;56;46;0;102;0.000;0.000;0.000;100;67;0;167;0.000;0.000;0.000
2001;54;33;0;87;0.000;0.000;0.000;80;59;1;138;0.007;0.013;0.017;123;82;1;204;0.005;0.008;0.012
