YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;33;65;4;94;0.043;0.121;0.062;142;113;6;249;0.024;0.042;0.053;164;167;14;317;0.044;0.085;0.084
2012;44;65;3;106;0.028;0.068;0.046;70;139;5;204;0.025;0.071;0.036;109;186;10;285;0.035;0.092;0.054
2011;43;55;2;96;0.021;0.047;0.036;119;93;2;210;0.010;0.017;0.022;157;134;5;286;0.017;0.032;0.037
2010;41;44;1;84;0.012;0.024;0.023;120;73;4;189;0.021;0.033;0.055;155;109;5;259;0.019;0.032;0.046
2009;38;50;1;87;0.011;0.026;0.020;115;60;1;174;0.006;0.009;0.017;147;101;3;245;0.012;0.020;0.030
2008;47;61;2;106;0.019;0.043;0.033;97;54;1;150;0.007;0.010;0.019;136;101;5;232;0.022;0.037;0.050
2007;35;41;2;74;0.027;0.057;0.049;99;72;0;171;0.000;0.000;0.000;126;104;3;227;0.013;0.024;0.029
2006;43;42;3;82;0.037;0.070;0.071;64;61;1;124;0.008;0.016;0.016;104;87;6;185;0.032;0.058;0.069
2005;52;40;1;91;0.011;0.019;0.025;84;60;3;141;0.021;0.036;0.050;132;90;5;217;0.023;0.038;0.056
2004;50;40;2;88;0.023;0.040;0.050;68;72;0;140;0.000;0.000;0.000;112;103;5;210;0.024;0.045;0.049
2003;55;37;1;91;0.011;0.018;0.027;60;93;6;147;0.041;0.100;0.065;110;118;7;221;0.032;0.064;0.059
2002;51;41;1;91;0.011;0.020;0.024;56;91;5;142;0.035;0.089;0.055;100;118;7;211;0.033;0.070;0.059
2001;54;42;2;94;0.021;0.037;0.048;80;54;1;133;0.008;0.013;0.019;123;85;3;205;0.015;0.024;0.035
2000;54;19;0;73;0.000;0.000;0.000;56;71;1;126;0.008;0.018;0.014;106;80;2;184;0.011;0.019;0.025
1999;53;56;5;104;0.048;0.094;0.089;47;63;1;109;0.009;0.021;0.016;94;100;6;188;0.032;0.064;0.060
1998;59;43;4;98;0.041;0.068;0.093;56;61;3;114;0.026;0.054;0.049;105;92;7;190;0.037;0.067;0.076
1997;49;46;5;90;0.056;0.102;0.109;71;51;5;117;0.043;0.070;0.098;113;81;11;183;0.060;0.097;0.136
1995;27;36;3;60;0.050;0.111;0.083;50;58;1;107;0.009;0.020;0.017;71;79;3;147;0.020;0.042;0.038
