YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;30;1;93;0.011;0.016;0.033;90;78;2;166;0.012;0.022;0.026;141;105;3;243;0.012;0.021;0.029
2012;64;31;1;94;0.011;0.016;0.032;96;114;0;210;0.000;0.000;0.000;151;140;1;290;0.003;0.007;0.007
2011;71;27;0;98;0.000;0.000;0.000;96;91;5;182;0.027;0.052;0.055;158;114;6;266;0.023;0.038;0.053
2010;65;27;1;91;0.011;0.015;0.037;72;79;2;149;0.013;0.028;0.025;131;103;4;230;0.017;0.031;0.039
2009;54;29;1;82;0.012;0.019;0.034;55;94;0;149;0.000;0.000;0.000;103;117;2;218;0.009;0.019;0.017
2008;52;30;0;82;0.000;0.000;0.000;69;88;1;156;0.006;0.014;0.011;110;115;2;223;0.009;0.018;0.017
2007;39;28;1;66;0.015;0.026;0.036;76;76;3;149;0.020;0.039;0.039;106;101;5;202;0.025;0.047;0.050
2006;43;25;1;67;0.015;0.023;0.040;79;67;0;146;0.000;0.000;0.000;108;89;1;196;0.005;0.009;0.011
2005;51;25;0;76;0.000;0.000;0.000;88;70;0;158;0.000;0.000;0.000;131;94;0;225;0.000;0.000;0.000
2004;40;20;1;59;0.017;0.025;0.050;76;76;0;152;0.000;0.000;0.000;111;92;2;201;0.010;0.018;0.022
2003;38;14;0;52;0.000;0.000;0.000;95;62;1;156;0.006;0.011;0.016;125;75;2;198;0.010;0.016;0.027
2002;39;12;0;51;0.000;0.000;0.000;56;54;0;110;0.000;0.000;0.000;89;66;0;155;0.000;0.000;0.000
2001;30;12;0;42;0.000;0.000;0.000;59;64;0;123;0.000;0.000;0.000;80;74;0;154;0.000;0.000;0.000
2000;34;15;0;49;0.000;0.000;0.000;52;48;0;100;0.000;0.000;0.000;80;61;0;141;0.000;0.000;0.000
1999;46;13;0;59;0.000;0.000;0.000;48;22;1;69;0.014;0.021;0.045;88;35;1;122;0.008;0.011;0.029
1998;45;14;0;59;0.000;0.000;0.000;53;41;0;94;0.000;0.000;0.000;93;55;0;148;0.000;0.000;0.000
