YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;37;3;98;0.031;0.047;0.081;90;176;5;261;0.019;0.056;0.028;141;202;10;333;0.030;0.071;0.050
2012;64;36;2;98;0.020;0.031;0.056;96;101;3;194;0.015;0.031;0.030;151;130;7;274;0.026;0.046;0.054
2011;71;29;4;96;0.042;0.056;0.138;96;121;0;217;0.000;0.000;0.000;158;145;6;297;0.020;0.038;0.041
2010;65;27;0;92;0.000;0.000;0.000;72;108;0;180;0.000;0.000;0.000;131;131;3;259;0.012;0.023;0.023
2009;54;29;0;83;0.000;0.000;0.000;55;115;0;170;0.000;0.000;0.000;103;136;2;237;0.008;0.019;0.015
2008;52;25;0;77;0.000;0.000;0.000;69;99;0;168;0.000;0.000;0.000;110;117;3;224;0.013;0.027;0.026
2007;39;28;1;66;0.015;0.026;0.036;76;140;4;212;0.019;0.053;0.029;106;157;5;258;0.019;0.047;0.032
2006;43;29;0;72;0.000;0.000;0.000;79;69;0;148;0.000;0.000;0.000;108;93;1;200;0.005;0.009;0.011
2005;51;33;3;81;0.037;0.059;0.091;88;98;3;183;0.016;0.034;0.031;131;127;7;251;0.028;0.053;0.055
2004;40;26;0;66;0.000;0.000;0.000;76;80;0;156;0.000;0.000;0.000;111;100;0;211;0.000;0.000;0.000
2003;38;31;1;68;0.015;0.026;0.032;95;78;1;172;0.006;0.011;0.013;125;107;2;230;0.009;0.016;0.019
2002;39;23;0;62;0.000;0.000;0.000;56;45;0;101;0.000;0.000;0.000;89;63;1;151;0.007;0.011;0.016
2001;30;37;1;66;0.015;0.033;0.027;59;83;1;141;0.007;0.017;0.012;80;114;2;192;0.010;0.025;0.018
2000;34;26;0;60;0.000;0.000;0.000;52;49;0;101;0.000;0.000;0.000;80;68;0;148;0.000;0.000;0.000
1999;46;23;1;68;0.015;0.022;0.043;48;72;0;120;0.000;0.000;0.000;88;92;2;178;0.011;0.023;0.022
1998;45;24;0;69;0.000;0.000;0.000;53;47;1;99;0.010;0.019;0.021;93;70;1;162;0.006;0.011;0.014
1997;13;39;1;51;0.020;0.077;0.026;45;74;1;118;0.008;0.022;0.014;55;110;3;162;0.019;0.055;0.027
