YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;27;0;91;0.000;0.000;0.000;90;67;1;156;0.006;0.011;0.015;141;88;1;228;0.004;0.007;0.011
2012;64;32;2;94;0.021;0.031;0.062;96;52;0;148;0.000;0.000;0.000;151;83;4;230;0.017;0.026;0.048
2011;71;26;0;97;0.000;0.000;0.000;96;61;4;153;0.026;0.042;0.066;158;82;4;236;0.017;0.025;0.049
2010;65;26;0;91;0.000;0.000;0.000;72;52;0;124;0.000;0.000;0.000;131;75;0;206;0.000;0.000;0.000
2009;54;31;0;85;0.000;0.000;0.000;55;53;0;108;0.000;0.000;0.000;103;78;0;181;0.000;0.000;0.000
2008;52;23;0;75;0.000;0.000;0.000;69;45;0;114;0.000;0.000;0.000;110;63;0;173;0.000;0.000;0.000
2007;39;27;0;66;0.000;0.000;0.000;76;48;0;124;0.000;0.000;0.000;106;75;1;180;0.006;0.009;0.013
2006;43;29;1;71;0.014;0.023;0.034;79;60;0;139;0.000;0.000;0.000;108;86;2;192;0.010;0.019;0.023
2005;51;20;0;71;0.000;0.000;0.000;88;69;3;154;0.019;0.034;0.043;131;86;3;214;0.014;0.023;0.035
2004;40;21;1;60;0.017;0.025;0.048;76;65;0;141;0.000;0.000;0.000;111;84;1;194;0.005;0.009;0.012
2003;38;23;0;61;0.000;0.000;0.000;95;60;0;155;0.000;0.000;0.000;125;81;0;206;0.000;0.000;0.000
2002;39;25;2;62;0.032;0.051;0.080;56;39;0;95;0.000;0.000;0.000;89;63;2;150;0.013;0.022;0.032
2001;30;10;0;40;0.000;0.000;0.000;59;17;0;76;0.000;0.000;0.000;80;26;0;106;0.000;0.000;0.000
2000;34;7;0;41;0.000;0.000;0.000;52;25;0;77;0.000;0.000;0.000;80;32;0;112;0.000;0.000;0.000
