YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;50;20;94;0.213;0.312;0.400;90;66;5;151;0.033;0.056;0.076;141;106;28;219;0.128;0.199;0.264
2012;64;38;5;97;0.052;0.078;0.132;96;71;9;158;0.057;0.094;0.127;151;100;18;233;0.077;0.119;0.180
2011;71;54;14;111;0.126;0.197;0.259;96;55;9;142;0.063;0.094;0.164;158;97;28;227;0.123;0.177;0.289
2010;65;44;16;93;0.172;0.246;0.364;72;63;7;128;0.055;0.097;0.111;131;94;25;200;0.125;0.191;0.266
2009;54;48;18;84;0.214;0.333;0.375;55;72;4;123;0.033;0.073;0.056;103;110;24;189;0.127;0.233;0.218
2008;52;56;22;86;0.256;0.423;0.393;69;56;8;117;0.068;0.116;0.143;110;101;35;176;0.199;0.318;0.347
2007;39;48;16;71;0.225;0.410;0.333;76;57;9;124;0.073;0.118;0.158;106;94;23;177;0.130;0.217;0.245
2006;43;37;17;63;0.270;0.395;0.459;79;63;7;135;0.052;0.089;0.111;108;94;27;175;0.154;0.250;0.287
2005;51;33;14;70;0.200;0.275;0.424;88;62;3;147;0.020;0.034;0.048;131;87;19;199;0.095;0.145;0.218
2004;40;43;13;70;0.186;0.325;0.302;76;54;12;118;0.102;0.158;0.222;111;87;30;168;0.179;0.270;0.345
2003;38;37;15;60;0.250;0.395;0.405;95;50;8;137;0.058;0.084;0.160;125;80;22;183;0.120;0.176;0.275
2002;39;37;9;67;0.134;0.231;0.243;56;62;12;106;0.113;0.214;0.194;89;88;20;157;0.127;0.225;0.227
2001;30;32;6;56;0.107;0.200;0.188;59;66;9;116;0.078;0.153;0.136;80;84;14;150;0.093;0.175;0.167
2000;34;27;5;56;0.089;0.147;0.185;52;54;4;102;0.039;0.077;0.074;80;74;12;142;0.085;0.150;0.162
1999;46;36;4;78;0.051;0.087;0.111;48;55;5;98;0.051;0.104;0.091;88;75;8;155;0.052;0.091;0.107
1998;45;33;2;76;0.026;0.044;0.061;53;66;5;114;0.044;0.094;0.076;93;84;7;170;0.041;0.075;0.083
1997;13;37;2;48;0.042;0.154;0.054;45;51;6;90;0.067;0.133;0.118;55;73;8;120;0.067;0.145;0.110
