YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;50;2;112;0.018;0.031;0.040;90;277;9;358;0.025;0.100;0.032;141;306;14;433;0.032;0.099;0.046
2012;64;48;4;108;0.037;0.062;0.083;96;270;3;363;0.008;0.031;0.011;151;302;13;440;0.030;0.086;0.043
2011;71;53;5;119;0.042;0.070;0.094;96;198;3;291;0.010;0.031;0.015;158;235;13;380;0.034;0.082;0.055
2010;65;45;0;110;0.000;0.000;0.000;72;193;8;257;0.031;0.111;0.041;131;225;11;345;0.032;0.084;0.049
2009;54;44;1;97;0.010;0.019;0.023;55;147;0;202;0.000;0.000;0.000;103;181;2;282;0.007;0.019;0.011
2008;52;41;2;91;0.022;0.038;0.049;69;162;6;225;0.027;0.087;0.037;110;195;10;295;0.034;0.091;0.051
2007;39;36;0;75;0.000;0.000;0.000;76;140;1;215;0.005;0.013;0.007;106;171;2;275;0.007;0.019;0.012
2006;43;36;2;77;0.026;0.047;0.056;79;105;1;183;0.005;0.013;0.010;108;137;4;241;0.017;0.037;0.029
2005;51;46;1;96;0.010;0.020;0.022;88;137;1;224;0.004;0.011;0.007;131;175;2;304;0.007;0.015;0.011
2004;40;50;1;89;0.011;0.025;0.020;76;185;1;260;0.004;0.013;0.005;111;221;4;328;0.012;0.036;0.018
2003;38;45;3;80;0.037;0.079;0.067;95;124;4;215;0.019;0.042;0.032;125;157;7;275;0.025;0.056;0.045
2002;39;48;0;87;0.000;0.000;0.000;56;124;2;178;0.011;0.036;0.016;89;163;3;249;0.012;0.034;0.018
2001;30;38;0;68;0.000;0.000;0.000;59;120;1;178;0.006;0.017;0.008;80;151;1;230;0.004;0.013;0.007
2000;34;47;2;79;0.025;0.059;0.043;52;123;1;174;0.006;0.019;0.008;80;159;4;235;0.017;0.050;0.025
1999;46;43;0;89;0.000;0.000;0.000;48;153;6;195;0.031;0.125;0.039;88;183;6;265;0.023;0.068;0.033
1998;45;38;0;83;0.000;0.000;0.000;53;95;0;148;0.000;0.000;0.000;93;126;0;219;0.000;0.000;0.000
1997;13;50;0;63;0.000;0.000;0.000;45;141;4;182;0.022;0.089;0.028;55;184;5;234;0.021;0.091;0.027
