YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;71;15;120;0.125;0.234;0.211;90;115;10;195;0.051;0.111;0.087;141;175;28;288;0.097;0.199;0.160
2012;64;70;20;114;0.175;0.312;0.286;96;154;11;239;0.046;0.115;0.071;151;199;34;316;0.108;0.225;0.171
2011;71;80;22;129;0.171;0.310;0.275;96;113;11;198;0.056;0.115;0.097;158;174;39;293;0.133;0.247;0.224
2010;65;74;18;121;0.149;0.277;0.243;72;106;9;169;0.053;0.125;0.085;131;164;32;263;0.122;0.244;0.195
2009;54;81;19;116;0.164;0.352;0.235;55;117;9;163;0.055;0.164;0.077;103;184;32;255;0.125;0.311;0.174
2008;52;82;31;103;0.301;0.596;0.378;69;105;9;165;0.055;0.130;0.086;110;170;42;238;0.176;0.382;0.247
2007;39;89;20;108;0.185;0.513;0.225;76;142;14;204;0.069;0.184;0.099;106;210;36;280;0.129;0.340;0.171
2006;43;80;27;96;0.281;0.628;0.338;79;122;8;193;0.041;0.101;0.066;108;183;34;257;0.132;0.315;0.186
2005;51;60;18;93;0.194;0.353;0.300;88;139;11;216;0.051;0.125;0.079;131;182;33;280;0.118;0.252;0.181
2004;40;57;15;82;0.183;0.375;0.263;76;104;11;169;0.065;0.145;0.106;111;146;28;229;0.122;0.252;0.192
2003;38;57;16;79;0.203;0.421;0.281;95;105;11;189;0.058;0.116;0.105;125;154;26;253;0.103;0.208;0.169
2002;39;73;17;95;0.179;0.436;0.233;56;155;7;204;0.034;0.125;0.045;89;207;25;271;0.092;0.281;0.121
2001;30;64;12;82;0.146;0.400;0.188;59;183;9;233;0.039;0.153;0.049;80;223;22;281;0.078;0.275;0.099
2000;34;42;4;72;0.056;0.118;0.095;52;64;2;114;0.018;0.038;0.031;80;97;7;170;0.041;0.087;0.072
1999;46;65;6;105;0.057;0.130;0.092;48;115;14;149;0.094;0.292;0.122;88;161;19;230;0.083;0.216;0.118
1998;45;54;4;95;0.042;0.089;0.074;53;77;7;123;0.057;0.132;0.091;93;118;11;200;0.055;0.118;0.093
1997;13;43;1;55;0.018;0.077;0.023;45;91;5;131;0.038;0.111;0.055;55;122;6;171;0.035;0.109;0.049
