YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;36;9;91;0.099;0.141;0.250;90;40;2;128;0.016;0.022;0.050;141;73;14;200;0.070;0.099;0.192
2012;64;42;10;96;0.104;0.156;0.238;96;49;11;134;0.082;0.115;0.224;151;85;22;214;0.103;0.146;0.259
2011;71;42;6;107;0.056;0.085;0.143;96;39;1;134;0.007;0.010;0.026;158;77;9;226;0.040;0.057;0.117
2010;65;36;6;95;0.063;0.092;0.167;72;53;3;122;0.025;0.042;0.057;131;87;12;206;0.058;0.092;0.138
2009;54;38;11;81;0.136;0.204;0.289;55;35;3;87;0.034;0.055;0.086;103;66;15;154;0.097;0.146;0.227
2008;52;45;12;85;0.141;0.231;0.267;69;60;3;126;0.024;0.043;0.050;110;95;16;189;0.085;0.145;0.168
2007;39;36;8;67;0.119;0.205;0.222;76;48;5;119;0.042;0.066;0.104;106;78;12;172;0.070;0.113;0.154
2006;43;34;9;68;0.132;0.209;0.265;79;41;0;120;0.000;0.000;0.000;108;65;11;162;0.068;0.102;0.169
2005;51;34;13;72;0.181;0.255;0.382;88;44;0;132;0.000;0.000;0.000;131;68;16;183;0.087;0.122;0.235
2004;40;38;9;69;0.130;0.225;0.237;76;42;1;117;0.009;0.013;0.024;111;73;15;169;0.089;0.135;0.205
2003;38;39;13;64;0.203;0.342;0.333;95;50;8;137;0.058;0.084;0.160;125;81;20;186;0.108;0.160;0.247
2002;39;32;7;64;0.109;0.179;0.219;56;46;1;101;0.010;0.018;0.022;89;67;11;145;0.076;0.124;0.164
2001;30;33;4;59;0.068;0.133;0.121;59;59;5;113;0.044;0.085;0.085;80;82;10;152;0.066;0.125;0.122
