YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;64;65;21;108;0.194;0.328;0.323;90;113;11;192;0.057;0.122;0.097;141;167;38;270;0.141;0.270;0.228
2012;64;65;18;111;0.162;0.281;0.277;96;139;12;223;0.054;0.125;0.086;151;186;29;308;0.094;0.192;0.156
2011;71;55;18;108;0.167;0.254;0.327;96;93;8;181;0.044;0.083;0.086;158;134;27;265;0.102;0.171;0.201
2010;65;44;12;97;0.124;0.185;0.273;72;73;9;136;0.066;0.125;0.123;131;109;26;214;0.121;0.198;0.239
2009;54;50;15;89;0.169;0.278;0.300;55;60;1;114;0.009;0.018;0.017;103;101;20;184;0.109;0.194;0.198
2008;52;61;19;94;0.202;0.365;0.311;69;54;7;116;0.060;0.101;0.130;110;101;32;179;0.179;0.291;0.317
2007;39;41;15;65;0.231;0.385;0.366;76;72;8;140;0.057;0.105;0.111;106;104;25;185;0.135;0.236;0.240
2006;43;42;19;66;0.288;0.442;0.452;79;61;12;128;0.094;0.152;0.197;108;87;29;166;0.175;0.269;0.333
2005;51;40;14;77;0.182;0.275;0.350;88;60;6;142;0.042;0.068;0.100;131;90;22;199;0.111;0.168;0.244
2004;40;40;12;68;0.176;0.300;0.300;76;72;8;140;0.057;0.105;0.111;111;103;26;188;0.138;0.234;0.252
2003;38;37;10;65;0.154;0.263;0.270;95;93;3;185;0.016;0.032;0.032;125;118;16;227;0.070;0.128;0.136
2002;39;41;10;70;0.143;0.256;0.244;56;91;10;137;0.073;0.179;0.110;89;118;22;185;0.119;0.247;0.186
2001;30;42;9;63;0.143;0.300;0.214;59;54;7;106;0.066;0.119;0.130;80;85;18;147;0.122;0.225;0.212
2000;34;19;8;45;0.178;0.235;0.421;52;71;5;118;0.042;0.096;0.070;80;80;12;148;0.081;0.150;0.150
1999;46;56;7;95;0.074;0.152;0.125;48;63;9;102;0.088;0.188;0.143;88;100;17;171;0.099;0.193;0.170
1998;45;43;6;82;0.073;0.133;0.140;53;61;5;109;0.046;0.094;0.082;93;92;11;174;0.063;0.118;0.120
1997;13;46;2;57;0.035;0.154;0.043;45;51;2;94;0.021;0.044;0.039;55;81;6;130;0.046;0.109;0.074
