YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;37;2;65;0.031;0.067;0.054;78;176;6;248;0.024;0.077;0.034;105;202;9;298;0.030;0.086;0.045
2012;31;36;3;64;0.047;0.097;0.083;114;101;3;212;0.014;0.026;0.030;140;130;6;264;0.023;0.043;0.046
2011;27;29;2;54;0.037;0.074;0.069;91;121;3;209;0.014;0.033;0.025;114;145;7;252;0.028;0.061;0.048
2010;27;27;3;51;0.059;0.111;0.111;79;108;1;186;0.005;0.013;0.009;103;131;5;229;0.022;0.049;0.038
2009;29;29;2;56;0.036;0.069;0.069;94;115;8;201;0.040;0.085;0.070;117;136;11;242;0.045;0.094;0.081
2008;30;25;3;52;0.058;0.100;0.120;88;99;1;186;0.005;0.011;0.010;115;117;5;227;0.022;0.043;0.043
2007;28;28;4;52;0.077;0.143;0.143;76;140;0;216;0.000;0.000;0.000;101;157;6;252;0.024;0.059;0.038
2006;25;29;3;51;0.059;0.120;0.103;67;69;0;136;0.000;0.000;0.000;89;93;5;177;0.028;0.056;0.054
2005;25;33;5;53;0.094;0.200;0.152;70;98;1;167;0.006;0.014;0.010;94;127;8;213;0.038;0.085;0.063
2004;20;26;3;43;0.070;0.150;0.115;76;80;5;151;0.033;0.066;0.062;92;100;9;183;0.049;0.098;0.090
2003;14;31;3;42;0.071;0.214;0.097;62;78;3;137;0.022;0.048;0.038;75;107;8;174;0.046;0.107;0.075
2002;12;23;0;35;0.000;0.000;0.000;54;45;0;99;0.000;0.000;0.000;66;63;1;128;0.008;0.015;0.016
2001;12;37;1;48;0.021;0.083;0.027;64;83;3;144;0.021;0.047;0.036;74;114;6;182;0.033;0.081;0.053
2000;15;26;1;40;0.025;0.067;0.038;48;49;1;96;0.010;0.021;0.020;61;68;3;126;0.024;0.049;0.044
1999;13;23;0;36;0.000;0.000;0.000;22;72;1;93;0.011;0.045;0.014;35;92;2;125;0.016;0.057;0.022
1998;14;24;1;37;0.027;0.071;0.042;41;47;2;86;0.023;0.049;0.043;55;70;3;122;0.025;0.055;0.043
