YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;27;0;57;0.000;0.000;0.000;78;67;0;145;0.000;0.000;0.000;105;88;0;193;0.000;0.000;0.000
2012;31;32;0;63;0.000;0.000;0.000;114;52;4;162;0.025;0.035;0.077;140;83;5;218;0.023;0.036;0.060
2011;27;26;0;53;0.000;0.000;0.000;91;61;1;151;0.007;0.011;0.016;114;82;1;195;0.005;0.009;0.012
2010;27;26;1;52;0.019;0.037;0.038;79;52;0;131;0.000;0.000;0.000;103;75;1;177;0.006;0.010;0.013
2009;29;31;1;59;0.017;0.034;0.032;94;53;1;146;0.007;0.011;0.019;117;78;2;193;0.010;0.017;0.026
2008;30;23;0;53;0.000;0.000;0.000;88;45;0;133;0.000;0.000;0.000;115;63;3;175;0.017;0.026;0.048
2007;28;27;1;54;0.019;0.036;0.037;76;48;1;123;0.008;0.013;0.021;101;75;2;174;0.011;0.020;0.027
2006;25;29;0;54;0.000;0.000;0.000;67;60;0;127;0.000;0.000;0.000;89;86;0;175;0.000;0.000;0.000
2005;25;20;0;45;0.000;0.000;0.000;70;69;0;139;0.000;0.000;0.000;94;86;0;180;0.000;0.000;0.000
2004;20;21;2;39;0.051;0.100;0.095;76;65;0;141;0.000;0.000;0.000;92;84;2;174;0.011;0.022;0.024
2003;14;23;0;37;0.000;0.000;0.000;62;60;0;122;0.000;0.000;0.000;75;81;0;156;0.000;0.000;0.000
2002;12;25;0;37;0.000;0.000;0.000;54;39;0;93;0.000;0.000;0.000;66;63;0;129;0.000;0.000;0.000
2001;12;10;0;22;0.000;0.000;0.000;64;17;0;81;0.000;0.000;0.000;74;26;0;100;0.000;0.000;0.000
2000;15;7;0;22;0.000;0.000;0.000;48;25;0;73;0.000;0.000;0.000;61;32;0;93;0.000;0.000;0.000
