YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;50;1;79;0.013;0.033;0.020;78;66;0;144;0.000;0.000;0.000;105;106;2;209;0.010;0.019;0.019
2012;31;38;0;69;0.000;0.000;0.000;114;71;1;184;0.005;0.009;0.014;140;100;5;235;0.021;0.036;0.050
2011;27;54;0;81;0.000;0.000;0.000;91;55;3;143;0.021;0.033;0.055;114;97;4;207;0.019;0.035;0.041
2010;27;44;1;70;0.014;0.037;0.023;79;63;4;138;0.029;0.051;0.063;103;94;5;192;0.026;0.049;0.053
2009;29;48;0;77;0.000;0.000;0.000;94;72;0;166;0.000;0.000;0.000;117;110;1;226;0.004;0.009;0.009
2008;30;56;1;85;0.012;0.033;0.018;88;56;1;143;0.007;0.011;0.018;115;101;4;212;0.019;0.035;0.040
2007;28;48;2;74;0.027;0.071;0.042;76;57;4;129;0.031;0.053;0.070;101;94;6;189;0.032;0.059;0.064
2006;25;37;0;62;0.000;0.000;0.000;67;63;2;128;0.016;0.030;0.032;89;94;2;181;0.011;0.022;0.021
2005;25;33;0;58;0.000;0.000;0.000;70;62;0;132;0.000;0.000;0.000;94;87;0;181;0.000;0.000;0.000
2004;20;43;0;63;0.000;0.000;0.000;76;54;0;130;0.000;0.000;0.000;92;87;0;179;0.000;0.000;0.000
2003;14;37;0;51;0.000;0.000;0.000;62;50;1;111;0.009;0.016;0.020;75;80;1;154;0.006;0.013;0.013
2002;12;37;0;49;0.000;0.000;0.000;54;62;0;116;0.000;0.000;0.000;66;88;0;154;0.000;0.000;0.000
2001;12;32;0;44;0.000;0.000;0.000;64;66;0;130;0.000;0.000;0.000;74;84;0;158;0.000;0.000;0.000
2000;15;27;0;42;0.000;0.000;0.000;48;54;0;102;0.000;0.000;0.000;61;74;0;135;0.000;0.000;0.000
1999;13;36;0;49;0.000;0.000;0.000;22;55;1;76;0.013;0.045;0.018;35;75;1;109;0.009;0.029;0.013
1998;14;33;0;47;0.000;0.000;0.000;41;66;0;107;0.000;0.000;0.000;55;84;0;139;0.000;0.000;0.000
