YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;50;1;79;0.013;0.033;0.020;78;277;6;349;0.017;0.077;0.022;105;306;8;403;0.020;0.076;0.026
2012;31;48;3;76;0.039;0.097;0.062;114;270;20;364;0.055;0.175;0.074;140;302;25;417;0.060;0.179;0.083
2011;27;53;4;76;0.053;0.148;0.075;91;198;8;281;0.028;0.088;0.040;114;235;15;334;0.045;0.132;0.064
2010;27;45;6;66;0.091;0.222;0.133;79;193;10;262;0.038;0.127;0.052;103;225;17;311;0.055;0.165;0.076
2009;29;44;2;71;0.028;0.069;0.045;94;147;8;233;0.034;0.085;0.054;117;181;12;286;0.042;0.103;0.066
2008;30;41;4;67;0.060;0.133;0.098;88;162;3;247;0.012;0.034;0.019;115;195;7;303;0.023;0.061;0.036
2007;28;36;2;62;0.032;0.071;0.056;76;140;2;214;0.009;0.026;0.014;101;171;7;265;0.026;0.069;0.041
2006;25;36;1;60;0.017;0.040;0.028;67;105;0;172;0.000;0.000;0.000;89;137;1;225;0.004;0.011;0.007
2005;25;46;2;69;0.029;0.080;0.043;70;137;4;203;0.020;0.057;0.029;94;175;8;261;0.031;0.085;0.046
2004;20;50;2;68;0.029;0.100;0.040;76;185;0;261;0.000;0.000;0.000;92;221;5;308;0.016;0.054;0.023
2003;14;45;1;58;0.017;0.071;0.022;62;124;1;185;0.005;0.016;0.008;75;157;2;230;0.009;0.027;0.013
2002;12;48;2;58;0.034;0.167;0.042;54;124;1;177;0.006;0.019;0.008;66;163;3;226;0.013;0.045;0.018
2001;12;38;0;50;0.000;0.000;0.000;64;120;2;182;0.011;0.031;0.017;74;151;3;222;0.014;0.041;0.020
2000;15;47;0;62;0.000;0.000;0.000;48;123;3;168;0.018;0.062;0.024;61;159;5;215;0.023;0.082;0.031
1999;13;43;2;54;0.037;0.154;0.047;22;153;0;175;0.000;0.000;0.000;35;183;3;215;0.014;0.086;0.016
1998;14;38;1;51;0.020;0.071;0.026;41;95;1;135;0.007;0.024;0.011;55;126;3;178;0.017;0.055;0.024
