YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;71;1;100;0.010;0.033;0.014;78;115;1;192;0.005;0.013;0.009;105;175;3;277;0.011;0.029;0.017
2012;31;70;0;101;0.000;0.000;0.000;114;154;5;263;0.019;0.044;0.032;140;199;6;333;0.018;0.043;0.030
2011;27;80;0;107;0.000;0.000;0.000;91;113;1;203;0.005;0.011;0.009;114;174;4;284;0.014;0.035;0.023
2010;27;74;1;100;0.010;0.037;0.014;79;106;3;182;0.016;0.038;0.028;103;164;6;261;0.023;0.058;0.037
2009;29;81;0;110;0.000;0.000;0.000;94;117;4;207;0.019;0.043;0.034;117;184;7;294;0.024;0.060;0.038
2008;30;82;1;111;0.009;0.033;0.012;88;105;3;190;0.016;0.034;0.029;115;170;4;281;0.014;0.035;0.024
2007;28;89;3;114;0.026;0.107;0.034;76;142;0;218;0.000;0.000;0.000;101;210;5;306;0.016;0.050;0.024
2006;25;80;2;103;0.019;0.080;0.025;67;122;0;189;0.000;0.000;0.000;89;183;2;270;0.007;0.022;0.011
2005;25;60;0;85;0.000;0.000;0.000;70;139;8;201;0.040;0.114;0.058;94;182;8;268;0.030;0.085;0.044
2004;20;57;0;77;0.000;0.000;0.000;76;104;1;179;0.006;0.013;0.010;92;146;3;235;0.013;0.033;0.021
2003;14;57;0;71;0.000;0.000;0.000;62;105;1;166;0.006;0.016;0.010;75;154;2;227;0.009;0.027;0.013
2002;12;73;0;85;0.000;0.000;0.000;54;155;0;209;0.000;0.000;0.000;66;207;1;272;0.004;0.015;0.005
2001;12;64;0;76;0.000;0.000;0.000;64;183;0;247;0.000;0.000;0.000;74;223;1;296;0.003;0.014;0.004
2000;15;42;0;57;0.000;0.000;0.000;48;64;0;112;0.000;0.000;0.000;61;97;0;158;0.000;0.000;0.000
1999;13;65;0;78;0.000;0.000;0.000;22;115;1;136;0.007;0.045;0.009;35;161;1;195;0.005;0.029;0.006
1998;14;54;0;68;0.000;0.000;0.000;41;77;0;118;0.000;0.000;0.000;55;118;1;172;0.006;0.018;0.008
