YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;36;0;66;0.000;0.000;0.000;78;40;0;118;0.000;0.000;0.000;105;73;0;178;0.000;0.000;0.000
2012;31;42;0;73;0.000;0.000;0.000;114;49;0;163;0.000;0.000;0.000;140;85;0;225;0.000;0.000;0.000
2011;27;42;0;69;0.000;0.000;0.000;91;39;2;128;0.016;0.022;0.051;114;77;2;189;0.011;0.018;0.026
2010;27;36;1;62;0.016;0.037;0.028;79;53;0;132;0.000;0.000;0.000;103;87;2;188;0.011;0.019;0.023
2009;29;38;0;67;0.000;0.000;0.000;94;35;1;128;0.008;0.011;0.029;117;66;2;181;0.011;0.017;0.030
2008;30;45;0;75;0.000;0.000;0.000;88;60;0;148;0.000;0.000;0.000;115;95;0;210;0.000;0.000;0.000
2007;28;36;0;64;0.000;0.000;0.000;76;48;0;124;0.000;0.000;0.000;101;78;1;178;0.006;0.010;0.013
2006;25;34;0;59;0.000;0.000;0.000;67;41;0;108;0.000;0.000;0.000;89;65;0;154;0.000;0.000;0.000
2005;25;34;0;59;0.000;0.000;0.000;70;44;0;114;0.000;0.000;0.000;94;68;0;162;0.000;0.000;0.000
2004;20;38;0;58;0.000;0.000;0.000;76;42;0;118;0.000;0.000;0.000;92;73;1;164;0.006;0.011;0.014
2003;14;39;0;53;0.000;0.000;0.000;62;50;0;112;0.000;0.000;0.000;75;81;1;155;0.006;0.013;0.012
2002;12;32;0;44;0.000;0.000;0.000;54;46;0;100;0.000;0.000;0.000;66;67;0;133;0.000;0.000;0.000
2001;12;33;0;45;0.000;0.000;0.000;64;59;0;123;0.000;0.000;0.000;74;82;0;156;0.000;0.000;0.000
