YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;30;65;0;95;0.000;0.000;0.000;78;113;1;190;0.005;0.013;0.009;105;167;2;270;0.007;0.019;0.012
2012;31;65;0;96;0.000;0.000;0.000;114;139;1;252;0.004;0.009;0.007;140;186;2;324;0.006;0.014;0.011
2011;27;55;0;82;0.000;0.000;0.000;91;93;0;184;0.000;0.000;0.000;114;134;0;248;0.000;0.000;0.000
2010;27;44;2;69;0.029;0.074;0.045;79;73;0;152;0.000;0.000;0.000;103;109;6;206;0.029;0.058;0.055
2009;29;50;2;77;0.026;0.069;0.040;94;60;0;154;0.000;0.000;0.000;117;101;3;215;0.014;0.026;0.030
2008;30;61;0;91;0.000;0.000;0.000;88;54;1;141;0.007;0.011;0.019;115;101;3;213;0.014;0.026;0.030
2007;28;41;2;67;0.030;0.071;0.049;76;72;5;143;0.035;0.066;0.069;101;104;8;197;0.041;0.079;0.077
2006;25;42;1;66;0.015;0.040;0.024;67;61;1;127;0.008;0.015;0.016;89;87;1;175;0.006;0.011;0.011
2005;25;40;0;65;0.000;0.000;0.000;70;60;0;130;0.000;0.000;0.000;94;90;0;184;0.000;0.000;0.000
2004;20;40;0;60;0.000;0.000;0.000;76;72;0;148;0.000;0.000;0.000;92;103;1;194;0.005;0.011;0.010
2003;14;37;0;51;0.000;0.000;0.000;62;93;1;154;0.006;0.016;0.011;75;118;1;192;0.005;0.013;0.008
2002;12;41;0;53;0.000;0.000;0.000;54;91;0;145;0.000;0.000;0.000;66;118;0;184;0.000;0.000;0.000
2001;12;42;0;54;0.000;0.000;0.000;64;54;0;118;0.000;0.000;0.000;74;85;1;158;0.006;0.014;0.012
2000;15;19;0;34;0.000;0.000;0.000;48;71;0;119;0.000;0.000;0.000;61;80;0;141;0.000;0.000;0.000
1999;13;56;0;69;0.000;0.000;0.000;22;63;0;85;0.000;0.000;0.000;35;100;1;134;0.007;0.029;0.010
1998;14;43;0;57;0.000;0.000;0.000;41;61;0;102;0.000;0.000;0.000;55;92;0;147;0.000;0.000;0.000
