YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;37;27;2;62;0.032;0.054;0.074;176;67;5;238;0.021;0.028;0.075;202;88;10;280;0.036;0.050;0.114
2012;36;32;0;68;0.000;0.000;0.000;101;52;1;152;0.007;0.010;0.019;130;83;1;212;0.005;0.008;0.012
2011;29;26;0;55;0.000;0.000;0.000;121;61;2;180;0.011;0.017;0.033;145;82;2;225;0.009;0.014;0.024
2010;27;26;0;53;0.000;0.000;0.000;108;52;0;160;0.000;0.000;0.000;131;75;0;206;0.000;0.000;0.000
2009;29;31;1;59;0.017;0.034;0.032;115;53;2;166;0.012;0.017;0.038;136;78;3;211;0.014;0.022;0.038
2008;25;23;1;47;0.021;0.040;0.043;99;45;0;144;0.000;0.000;0.000;117;63;1;179;0.006;0.009;0.016
2007;28;27;0;55;0.000;0.000;0.000;140;48;0;188;0.000;0.000;0.000;157;75;0;232;0.000;0.000;0.000
2006;29;29;3;55;0.055;0.103;0.103;69;60;0;129;0.000;0.000;0.000;93;86;3;176;0.017;0.032;0.035
2005;33;20;1;52;0.019;0.030;0.050;98;69;1;166;0.006;0.010;0.014;127;86;3;210;0.014;0.024;0.035
2004;26;21;0;47;0.000;0.000;0.000;80;65;1;144;0.007;0.013;0.015;100;84;3;181;0.017;0.030;0.036
2003;31;23;2;52;0.038;0.065;0.087;78;60;1;137;0.007;0.013;0.017;107;81;5;183;0.027;0.047;0.062
2002;23;25;1;47;0.021;0.043;0.040;45;39;0;84;0.000;0.000;0.000;63;63;3;123;0.024;0.048;0.048
2001;37;10;0;47;0.000;0.000;0.000;83;17;0;100;0.000;0.000;0.000;114;26;0;140;0.000;0.000;0.000
2000;26;7;0;33;0.000;0.000;0.000;49;25;0;74;0.000;0.000;0.000;68;32;0;100;0.000;0.000;0.000
