YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;37;50;3;84;0.036;0.081;0.060;176;66;3;239;0.013;0.017;0.045;202;106;12;296;0.041;0.059;0.113
2012;36;38;2;72;0.028;0.056;0.053;101;71;7;165;0.042;0.069;0.099;130;100;11;219;0.050;0.085;0.110
2011;29;54;1;82;0.012;0.034;0.019;121;55;0;176;0.000;0.000;0.000;145;97;5;237;0.021;0.034;0.052
2010;27;44;1;70;0.014;0.037;0.023;108;63;0;171;0.000;0.000;0.000;131;94;4;221;0.018;0.031;0.043
2009;29;48;0;77;0.000;0.000;0.000;115;72;1;186;0.005;0.009;0.014;136;110;2;244;0.008;0.015;0.018
2008;25;56;1;80;0.013;0.040;0.018;99;56;0;155;0.000;0.000;0.000;117;101;2;216;0.009;0.017;0.020
2007;28;48;2;74;0.027;0.071;0.042;140;57;1;196;0.005;0.007;0.018;157;94;5;246;0.020;0.032;0.053
2006;29;37;0;66;0.000;0.000;0.000;69;63;0;132;0.000;0.000;0.000;93;94;0;187;0.000;0.000;0.000
2005;33;33;2;64;0.031;0.061;0.061;98;62;1;159;0.006;0.010;0.016;127;87;4;210;0.019;0.031;0.046
2004;26;43;0;69;0.000;0.000;0.000;80;54;0;134;0.000;0.000;0.000;100;87;0;187;0.000;0.000;0.000
2003;31;37;0;68;0.000;0.000;0.000;78;50;1;127;0.008;0.013;0.020;107;80;1;186;0.005;0.009;0.013
2002;23;37;1;59;0.017;0.043;0.027;45;62;0;107;0.000;0.000;0.000;63;88;2;149;0.013;0.032;0.023
2001;37;32;0;69;0.000;0.000;0.000;83;66;0;149;0.000;0.000;0.000;114;84;2;196;0.010;0.018;0.024
2000;26;27;1;52;0.019;0.038;0.037;49;54;0;103;0.000;0.000;0.000;68;74;1;141;0.007;0.015;0.014
1999;23;36;0;59;0.000;0.000;0.000;72;55;0;127;0.000;0.000;0.000;92;75;1;166;0.006;0.011;0.013
1998;24;33;0;57;0.000;0.000;0.000;47;66;0;113;0.000;0.000;0.000;70;84;0;154;0.000;0.000;0.000
1997;39;37;2;74;0.027;0.051;0.054;74;51;0;125;0.000;0.000;0.000;110;73;3;180;0.017;0.027;0.041
