YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;37;50;10;77;0.130;0.270;0.200;176;277;37;416;0.089;0.210;0.134;202;306;49;459;0.107;0.243;0.160
2012;36;48;12;72;0.167;0.333;0.250;101;270;27;344;0.078;0.267;0.100;130;302;46;386;0.119;0.354;0.152
2011;29;53;9;73;0.123;0.310;0.170;121;198;30;289;0.104;0.248;0.152;145;235;48;332;0.145;0.331;0.204
2010;27;45;8;64;0.125;0.296;0.178;108;193;14;287;0.049;0.130;0.073;131;225;29;327;0.089;0.221;0.129
2009;29;44;6;67;0.090;0.207;0.136;115;147;29;233;0.124;0.252;0.197;136;181;38;279;0.136;0.279;0.210
2008;25;41;9;57;0.158;0.360;0.220;99;162;17;244;0.070;0.172;0.105;117;195;33;279;0.118;0.282;0.169
2007;28;36;4;60;0.067;0.143;0.111;140;140;23;257;0.089;0.164;0.164;157;171;32;296;0.108;0.204;0.187
2006;29;36;4;61;0.066;0.138;0.111;69;105;11;163;0.067;0.159;0.105;93;137;18;212;0.085;0.194;0.131
2005;33;46;10;69;0.145;0.303;0.217;98;137;12;223;0.054;0.122;0.088;127;175;26;276;0.094;0.205;0.149
2004;26;50;10;66;0.152;0.385;0.200;80;185;12;253;0.047;0.150;0.065;100;221;22;299;0.074;0.220;0.100
2003;31;45;2;74;0.027;0.065;0.044;78;124;8;194;0.041;0.103;0.065;107;157;16;248;0.065;0.150;0.102
2002;23;48;5;66;0.076;0.217;0.104;45;124;8;161;0.050;0.178;0.065;63;163;21;205;0.102;0.333;0.129
2001;37;38;10;65;0.154;0.270;0.263;83;120;12;191;0.063;0.145;0.100;114;151;23;242;0.095;0.202;0.152
2000;26;47;10;63;0.159;0.385;0.213;49;123;2;170;0.012;0.041;0.016;68;159;15;212;0.071;0.221;0.094
1999;23;43;2;64;0.031;0.087;0.047;72;153;12;213;0.056;0.167;0.078;92;183;17;258;0.066;0.185;0.093
1998;24;38;6;56;0.107;0.250;0.158;47;95;1;141;0.007;0.021;0.011;70;126;13;183;0.071;0.186;0.103
1997;39;50;7;82;0.085;0.179;0.140;74;141;5;210;0.024;0.068;0.035;110;184;17;277;0.061;0.155;0.092
1996;18;35;1;52;0.019;0.056;0.029;45;128;5;168;0.030;0.111;0.039;60;160;7;213;0.033;0.117;0.044
1995;23;31;4;50;0.080;0.174;0.129;27;83;1;109;0.009;0.037;0.012;49;110;12;147;0.082;0.245;0.109
1994;17;30;7;40;0.175;0.412;0.233;40;61;4;97;0.041;0.100;0.066;54;89;11;132;0.083;0.204;0.124
