YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;37;71;2;106;0.019;0.054;0.028;176;115;12;279;0.043;0.068;0.104;202;175;18;359;0.050;0.089;0.103
2012;36;70;6;100;0.060;0.167;0.086;101;154;17;238;0.071;0.168;0.110;130;199;29;300;0.097;0.223;0.146
2011;29;80;5;104;0.048;0.172;0.062;121;113;6;228;0.026;0.050;0.053;145;174;15;304;0.049;0.103;0.086
2010;27;74;3;98;0.031;0.111;0.041;108;106;3;211;0.014;0.028;0.028;131;164;10;285;0.035;0.076;0.061
2009;29;81;0;110;0.000;0.000;0.000;115;117;3;229;0.013;0.026;0.026;136;184;7;313;0.022;0.051;0.038
2008;25;82;1;106;0.009;0.040;0.012;99;105;4;200;0.020;0.040;0.038;117;170;9;278;0.032;0.077;0.053
2007;28;89;2;115;0.017;0.071;0.022;140;142;11;271;0.041;0.079;0.077;157;210;13;354;0.037;0.083;0.062
2006;29;80;0;109;0.000;0.000;0.000;69;122;4;187;0.021;0.058;0.033;93;183;4;272;0.015;0.043;0.022
2005;33;60;2;91;0.022;0.061;0.033;98;139;5;232;0.022;0.051;0.036;127;182;9;300;0.030;0.071;0.049
2004;26;57;0;83;0.000;0.000;0.000;80;104;1;183;0.005;0.013;0.010;100;146;2;244;0.008;0.020;0.014
2003;31;57;1;87;0.011;0.032;0.018;78;105;4;179;0.022;0.051;0.038;107;154;9;252;0.036;0.084;0.058
2002;23;73;1;95;0.011;0.043;0.014;45;155;0;200;0.000;0.000;0.000;63;207;2;268;0.007;0.032;0.010
2001;37;64;0;101;0.000;0.000;0.000;83;183;4;262;0.015;0.048;0.022;114;223;8;329;0.024;0.070;0.036
2000;26;42;1;67;0.015;0.038;0.024;49;64;0;113;0.000;0.000;0.000;68;97;1;164;0.006;0.015;0.010
1999;23;65;0;88;0.000;0.000;0.000;72;115;4;183;0.022;0.056;0.035;92;161;5;248;0.020;0.054;0.031
1998;24;54;0;78;0.000;0.000;0.000;47;77;2;122;0.016;0.043;0.026;70;118;2;186;0.011;0.029;0.017
1997;39;43;1;81;0.012;0.026;0.023;74;91;1;164;0.006;0.014;0.011;110;122;4;228;0.018;0.036;0.033
1996;18;46;1;63;0.016;0.056;0.022;45;84;1;128;0.008;0.022;0.012;60;117;2;175;0.011;0.033;0.017
1995;23;45;2;66;0.030;0.087;0.044;27;89;2;114;0.018;0.074;0.022;49;120;4;165;0.024;0.082;0.033
1994;17;44;0;61;0.000;0.000;0.000;40;109;3;146;0.021;0.075;0.028;54;145;4;195;0.021;0.074;0.028
