YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;37;36;2;71;0.028;0.054;0.056;176;40;1;215;0.005;0.006;0.025;202;73;5;270;0.019;0.025;0.068
2012;36;42;1;77;0.013;0.028;0.024;101;49;2;148;0.014;0.020;0.041;130;85;5;210;0.024;0.038;0.059
2011;29;42;1;70;0.014;0.034;0.024;121;39;3;157;0.019;0.025;0.077;145;77;5;217;0.023;0.034;0.065
2010;27;36;0;63;0.000;0.000;0.000;108;53;0;161;0.000;0.000;0.000;131;87;2;216;0.009;0.015;0.023
2009;29;38;0;67;0.000;0.000;0.000;115;35;0;150;0.000;0.000;0.000;136;66;0;202;0.000;0.000;0.000
2008;25;45;1;69;0.014;0.040;0.022;99;60;0;159;0.000;0.000;0.000;117;95;1;211;0.005;0.009;0.011
2007;28;36;0;64;0.000;0.000;0.000;140;48;4;184;0.022;0.029;0.083;157;78;6;229;0.026;0.038;0.077
2006;29;34;0;63;0.000;0.000;0.000;69;41;4;106;0.038;0.058;0.098;93;65;4;154;0.026;0.043;0.062
2005;33;34;0;67;0.000;0.000;0.000;98;44;0;142;0.000;0.000;0.000;127;68;2;193;0.010;0.016;0.029
2004;26;38;0;64;0.000;0.000;0.000;80;42;0;122;0.000;0.000;0.000;100;73;0;173;0.000;0.000;0.000
2003;31;39;0;70;0.000;0.000;0.000;78;50;1;127;0.008;0.013;0.020;107;81;1;187;0.005;0.009;0.012
2002;23;32;0;55;0.000;0.000;0.000;45;46;0;91;0.000;0.000;0.000;63;67;1;129;0.008;0.016;0.015
2001;37;33;0;70;0.000;0.000;0.000;83;59;1;141;0.007;0.012;0.017;114;82;1;195;0.005;0.009;0.012
