YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;37;65;2;100;0.020;0.054;0.031;176;113;1;288;0.003;0.006;0.009;202;167;9;360;0.025;0.045;0.054
2012;36;65;2;99;0.020;0.056;0.031;101;139;3;237;0.013;0.030;0.022;130;186;14;302;0.046;0.108;0.075
2011;29;55;1;83;0.012;0.034;0.018;121;93;5;209;0.024;0.041;0.054;145;134;8;271;0.030;0.055;0.060
2010;27;44;3;68;0.044;0.111;0.068;108;73;0;181;0.000;0.000;0.000;131;109;3;237;0.013;0.023;0.028
2009;29;50;1;78;0.013;0.034;0.020;115;60;2;173;0.012;0.017;0.033;136;101;7;230;0.030;0.051;0.069
2008;25;61;1;85;0.012;0.040;0.016;99;54;1;152;0.007;0.010;0.019;117;101;4;214;0.019;0.034;0.040
2007;28;41;2;67;0.030;0.071;0.049;140;72;2;210;0.010;0.014;0.028;157;104;7;254;0.028;0.045;0.067
2006;29;42;0;71;0.000;0.000;0.000;69;61;2;128;0.016;0.029;0.033;93;87;3;177;0.017;0.032;0.034
2005;33;40;1;72;0.014;0.030;0.025;98;60;4;154;0.026;0.041;0.067;127;90;6;211;0.028;0.047;0.067
2004;26;40;0;66;0.000;0.000;0.000;80;72;2;150;0.013;0.025;0.028;100;103;2;201;0.010;0.020;0.019
2003;31;37;1;67;0.015;0.032;0.027;78;93;1;170;0.006;0.013;0.011;107;118;3;222;0.014;0.028;0.025
2002;23;41;1;63;0.016;0.043;0.024;45;91;0;136;0.000;0.000;0.000;63;118;1;180;0.006;0.016;0.008
2001;37;42;1;78;0.013;0.027;0.024;83;54;0;137;0.000;0.000;0.000;114;85;1;198;0.005;0.009;0.012
2000;26;19;0;45;0.000;0.000;0.000;49;71;0;120;0.000;0.000;0.000;68;80;0;148;0.000;0.000;0.000
1999;23;56;0;79;0.000;0.000;0.000;72;63;0;135;0.000;0.000;0.000;92;100;3;189;0.016;0.033;0.030
1998;24;43;0;67;0.000;0.000;0.000;47;61;0;108;0.000;0.000;0.000;70;92;0;162;0.000;0.000;0.000
1997;39;46;1;84;0.012;0.026;0.022;74;51;0;125;0.000;0.000;0.000;110;81;2;189;0.011;0.018;0.025
1996;18;41;0;59;0.000;0.000;0.000;45;52;0;97;0.000;0.000;0.000;60;83;0;143;0.000;0.000;0.000
1995;23;36;1;58;0.017;0.043;0.028;27;58;0;85;0.000;0.000;0.000;49;79;1;127;0.008;0.020;0.013
