YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;27;50;1;76;0.013;0.037;0.020;67;66;1;132;0.008;0.015;0.015;88;106;2;192;0.010;0.023;0.019
2012;32;38;1;69;0.014;0.031;0.026;52;71;3;120;0.025;0.058;0.042;83;100;5;178;0.028;0.060;0.050
2011;26;54;0;80;0.000;0.000;0.000;61;55;0;116;0.000;0.000;0.000;82;97;0;179;0.000;0.000;0.000
2010;26;44;0;70;0.000;0.000;0.000;52;63;0;115;0.000;0.000;0.000;75;94;0;169;0.000;0.000;0.000
2009;31;48;0;79;0.000;0.000;0.000;53;72;0;125;0.000;0.000;0.000;78;110;0;188;0.000;0.000;0.000
2008;23;56;0;79;0.000;0.000;0.000;45;56;0;101;0.000;0.000;0.000;63;101;0;164;0.000;0.000;0.000
2007;27;48;0;75;0.000;0.000;0.000;48;57;0;105;0.000;0.000;0.000;75;94;0;169;0.000;0.000;0.000
2006;29;37;0;66;0.000;0.000;0.000;60;63;0;123;0.000;0.000;0.000;86;94;1;179;0.006;0.012;0.011
2005;20;33;0;53;0.000;0.000;0.000;69;62;0;131;0.000;0.000;0.000;86;87;0;173;0.000;0.000;0.000
2004;21;43;1;63;0.016;0.048;0.023;65;54;0;119;0.000;0.000;0.000;84;87;1;170;0.006;0.012;0.011
2003;23;37;0;60;0.000;0.000;0.000;60;50;0;110;0.000;0.000;0.000;81;80;0;161;0.000;0.000;0.000
2002;25;37;1;61;0.016;0.040;0.027;39;62;0;101;0.000;0.000;0.000;63;88;1;150;0.007;0.016;0.011
2001;10;32;0;42;0.000;0.000;0.000;17;66;0;83;0.000;0.000;0.000;26;84;0;110;0.000;0.000;0.000
2000;7;27;0;34;0.000;0.000;0.000;25;54;0;79;0.000;0.000;0.000;32;74;0;106;0.000;0.000;0.000
