YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;27;50;0;77;0.000;0.000;0.000;67;277;5;339;0.015;0.075;0.018;88;306;8;386;0.021;0.091;0.026
2012;32;48;0;80;0.000;0.000;0.000;52;270;2;320;0.006;0.038;0.007;83;302;8;377;0.021;0.096;0.026
2011;26;53;1;78;0.013;0.038;0.019;61;198;2;257;0.008;0.033;0.010;82;235;5;312;0.016;0.061;0.021
2010;26;45;0;71;0.000;0.000;0.000;52;193;2;243;0.008;0.038;0.010;75;225;2;298;0.007;0.027;0.009
2009;31;44;1;74;0.014;0.032;0.023;53;147;3;197;0.015;0.057;0.020;78;181;5;254;0.020;0.064;0.028
2008;23;41;0;64;0.000;0.000;0.000;45;162;2;205;0.010;0.044;0.012;63;195;4;254;0.016;0.063;0.021
2007;27;36;2;61;0.033;0.074;0.056;48;140;4;184;0.022;0.083;0.029;75;171;7;239;0.029;0.093;0.041
2006;29;36;0;65;0.000;0.000;0.000;60;105;2;163;0.012;0.033;0.019;86;137;2;221;0.009;0.023;0.015
2005;20;46;0;66;0.000;0.000;0.000;69;137;4;202;0.020;0.058;0.029;86;175;4;257;0.016;0.047;0.023
2004;21;50;1;70;0.014;0.048;0.020;65;185;5;245;0.020;0.077;0.027;84;221;7;298;0.023;0.083;0.032
2003;23;45;2;66;0.030;0.087;0.044;60;124;0;184;0.000;0.000;0.000;81;157;2;236;0.008;0.025;0.013
2002;25;48;2;71;0.028;0.080;0.042;39;124;0;163;0.000;0.000;0.000;63;163;3;223;0.013;0.048;0.018
2001;10;38;1;47;0.021;0.100;0.026;17;120;0;137;0.000;0.000;0.000;26;151;1;176;0.006;0.038;0.007
2000;7;47;0;54;0.000;0.000;0.000;25;123;1;147;0.007;0.040;0.008;32;159;1;190;0.005;0.031;0.006
