YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;27;71;1;97;0.010;0.037;0.014;67;115;2;180;0.011;0.030;0.017;88;175;4;259;0.015;0.045;0.023
2012;32;70;1;101;0.010;0.031;0.014;52;154;0;206;0.000;0.000;0.000;83;199;1;281;0.004;0.012;0.005
2011;26;80;2;104;0.019;0.077;0.025;61;113;2;172;0.012;0.033;0.018;82;174;4;252;0.016;0.049;0.023
2010;26;74;0;100;0.000;0.000;0.000;52;106;0;158;0.000;0.000;0.000;75;164;1;238;0.004;0.013;0.006
2009;31;81;1;111;0.009;0.032;0.012;53;117;4;166;0.024;0.075;0.034;78;184;5;257;0.019;0.064;0.027
2008;23;82;2;103;0.019;0.087;0.024;45;105;0;150;0.000;0.000;0.000;63;170;2;231;0.009;0.032;0.012
2007;27;89;0;116;0.000;0.000;0.000;48;142;0;190;0.000;0.000;0.000;75;210;0;285;0.000;0.000;0.000
2006;29;80;2;107;0.019;0.069;0.025;60;122;2;180;0.011;0.033;0.016;86;183;4;265;0.015;0.047;0.022
2005;20;60;2;78;0.026;0.100;0.033;69;139;1;207;0.005;0.014;0.007;86;182;4;264;0.015;0.047;0.022
2004;21;57;0;78;0.000;0.000;0.000;65;104;0;169;0.000;0.000;0.000;84;146;0;230;0.000;0.000;0.000
2003;23;57;1;79;0.013;0.043;0.018;60;105;0;165;0.000;0.000;0.000;81;154;1;234;0.004;0.012;0.006
2002;25;73;2;96;0.021;0.080;0.027;39;155;0;194;0.000;0.000;0.000;63;207;2;268;0.007;0.032;0.010
2001;10;64;0;74;0.000;0.000;0.000;17;183;0;200;0.000;0.000;0.000;26;223;0;249;0.000;0.000;0.000
2000;7;42;0;49;0.000;0.000;0.000;25;64;0;89;0.000;0.000;0.000;32;97;0;129;0.000;0.000;0.000
