YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;27;36;0;63;0.000;0.000;0.000;67;40;0;107;0.000;0.000;0.000;88;73;0;161;0.000;0.000;0.000
2012;32;42;2;72;0.028;0.062;0.048;52;49;0;101;0.000;0.000;0.000;83;85;2;166;0.012;0.024;0.024
2011;26;42;1;67;0.015;0.038;0.024;61;39;0;100;0.000;0.000;0.000;82;77;1;158;0.006;0.012;0.013
2010;26;36;4;58;0.069;0.154;0.111;52;53;1;104;0.010;0.019;0.019;75;87;5;157;0.032;0.067;0.057
2009;31;38;2;67;0.030;0.065;0.053;53;35;2;86;0.023;0.038;0.057;78;66;4;140;0.029;0.051;0.061
2008;23;45;3;65;0.046;0.130;0.067;45;60;2;103;0.019;0.044;0.033;63;95;5;153;0.033;0.079;0.053
2007;27;36;0;63;0.000;0.000;0.000;48;48;0;96;0.000;0.000;0.000;75;78;0;153;0.000;0.000;0.000
2006;29;34;2;61;0.033;0.069;0.059;60;41;0;101;0.000;0.000;0.000;86;65;2;149;0.013;0.023;0.031
2005;20;34;1;53;0.019;0.050;0.029;69;44;0;113;0.000;0.000;0.000;86;68;1;153;0.007;0.012;0.015
2004;21;38;1;58;0.017;0.048;0.026;65;42;0;107;0.000;0.000;0.000;84;73;1;156;0.006;0.012;0.014
2003;23;39;1;61;0.016;0.043;0.026;60;50;0;110;0.000;0.000;0.000;81;81;2;160;0.013;0.025;0.025
2002;25;32;1;56;0.018;0.040;0.031;39;46;0;85;0.000;0.000;0.000;63;67;1;129;0.008;0.016;0.015
2001;10;33;0;43;0.000;0.000;0.000;17;59;0;76;0.000;0.000;0.000;26;82;0;108;0.000;0.000;0.000
