YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;27;65;1;91;0.011;0.037;0.015;67;113;0;180;0.000;0.000;0.000;88;167;2;253;0.008;0.023;0.012
2012;32;65;0;97;0.000;0.000;0.000;52;139;0;191;0.000;0.000;0.000;83;186;0;269;0.000;0.000;0.000
2011;26;55;1;80;0.013;0.038;0.018;61;93;0;154;0.000;0.000;0.000;82;134;1;215;0.005;0.012;0.007
2010;26;44;0;70;0.000;0.000;0.000;52;73;0;125;0.000;0.000;0.000;75;109;0;184;0.000;0.000;0.000
2009;31;50;1;80;0.013;0.032;0.020;53;60;0;113;0.000;0.000;0.000;78;101;1;178;0.006;0.013;0.010
2008;23;61;1;83;0.012;0.043;0.016;45;54;0;99;0.000;0.000;0.000;63;101;1;163;0.006;0.016;0.010
2007;27;41;0;68;0.000;0.000;0.000;48;72;0;120;0.000;0.000;0.000;75;104;0;179;0.000;0.000;0.000
2006;29;42;0;71;0.000;0.000;0.000;60;61;0;121;0.000;0.000;0.000;86;87;1;172;0.006;0.012;0.011
2005;20;40;0;60;0.000;0.000;0.000;69;60;1;128;0.008;0.014;0.017;86;90;2;174;0.011;0.023;0.022
2004;21;40;1;60;0.017;0.048;0.025;65;72;1;136;0.007;0.015;0.014;84;103;2;185;0.011;0.024;0.019
2003;23;37;1;59;0.017;0.043;0.027;60;93;0;153;0.000;0.000;0.000;81;118;1;198;0.005;0.012;0.008
2002;25;41;1;65;0.015;0.040;0.024;39;91;0;130;0.000;0.000;0.000;63;118;1;180;0.006;0.016;0.008
2001;10;42;0;52;0.000;0.000;0.000;17;54;0;71;0.000;0.000;0.000;26;85;0;111;0.000;0.000;0.000
2000;7;19;0;26;0.000;0.000;0.000;25;71;0;96;0.000;0.000;0.000;32;80;0;112;0.000;0.000;0.000
